,CreatedDate,ClosedDate,Agency,ComplaintType,Descriptor,City
280716,2011-06-20 19:33:22,2011-07-12 02:12:32,TLC,Taxi Complaint,Driver Complaint,ASTORIA
280717,2011-06-20 19:30:55,2011-06-20 23:56:56,NYPD,Noise - Residential,Loud Music/Party,BROOKLYN
280718,2011-06-20 00:00:00,2011-06-29 00:00:00,DOHMH,Rodent,Rat Sighting,NEW YORK
280719,2011-06-20 21:08:13,2011-06-21 01:02:18,NYPD,Noise - Residential,Banging/Pounding,BRONX
280720,2011-06-20 22:01:27,2011-06-21 08:12:42,NYPD,Noise - Residential,Loud Music/Party,STATEN ISLAND
280721,2011-06-20 22:08:47,2011-06-20 23:16:00,NYPD,Noise - Street/Sidewalk,Loud Talking,SPRINGFIELD GARDENS
280722,2011-06-20 22:08:41,2011-06-20 23:54:52,NYPD,Noise - Residential,Banging/Pounding,NEW YORK
280723,2011-06-20 22:55:13,2011-07-12 02:12:34,TLC,Taxi Complaint,Driver Complaint,NEW YORK
280724,2011-06-20 19:17:19,2011-06-28 11:18:56,DOT,Bridge Condition,Graffiti - Bridge,
280725,2011-06-20 19:27:10,2011-06-28 12:02:53,DOT,Bridge Condition,Guard Rail - Bridge,BRONX
280726,2011-06-20 19:28:59,2011-06-20 23:56:58,NYPD,Noise - Residential,Loud Music/Party,BROOKLYN
280727,2011-06-20 19:33:18,2011-06-24 09:12:42,DOT,Street Condition,Failed Street Repair,STATEN ISLAND
280728,2011-06-20 19:41:16,2011-07-13 11:47:01,DOT,Sidewalk Condition,Pedestrian Ramp Defective,NEW YORK
280729,2011-06-20 19:56:19,2011-06-20 21:09:44,NYPD,Noise - Street/Sidewalk,Loud Music/Party,JAMAICA
280730,2011-06-20 20:04:48,2011-06-20 20:32:03,NYPD,Derelict Vehicle,With License Plate,STATEN ISLAND
280731,2011-06-20 20:15:22,2011-06-20 20:31:02,NYPD,Noise - Commercial,Loud Music/Party,BRONX
280732,2011-06-20 20:30:00,2011-06-20 23:05:44,NYPD,Noise - Street/Sidewalk,Loud Music/Party,NEW YORK
280733,2011-06-20 21:08:41,2011-06-21 01:26:54,NYPD,Noise - Residential,Loud Talking,BROOKLYN
280734,2011-06-20 20:47:16,2011-06-21 01:01:18,NYPD,Noise - Residential,Loud Music/Party,BRONX
280735,2011-06-20 21:01:12,2011-06-23 09:05:50,DOT,Broken Muni Meter,No Receipt,NEW YORK
280736,2011-06-20 21:06:29,2011-06-20 22:41:15,NYPD,Noise - Street/Sidewalk,Loud Talking,NEW YORK
280737,2011-06-20 21:11:26,2011-06-21 00:23:36,NYPD,Noise - Street/Sidewalk,Loud Music/Party,BROOKLYN
280738,2011-06-20 21:39:26,2011-06-20 21:50:31,NYPD,Illegal Fireworks,,BROOKLYN
280739,2011-06-20 21:52:36,2011-06-20 23:46:42,NYPD,Noise - Residential,Loud Music/Party,NEW YORK
280740,2011-06-20 22:03:22,2011-06-21 00:23:37,NYPD,Blocked Driveway,Partial Access,BROOKLYN
280741,2011-06-20 22:17:01,2011-06-20 23:10:51,NYPD,Noise - Vehicle,Engine Idling,BROOKLYN
280742,2011-06-20 22:32:23,2011-06-21 00:49:03,NYPD,Blocked Driveway,Partial Access,BROOKLYN
280743,2011-06-20 22:39:30,2011-06-21 08:11:41,NYPD,Urinating in Public,,NEW YORK
280744,2011-06-20 22:45:31,2011-06-20 23:21:09,NYPD,Blocked Driveway,Partial Access,OAKLAND GARDENS
280745,2011-06-20 19:35:57,2014-02-10 07:37:17,DPR,Overgrown Tree/Branches,Traffic Sign or Signal Blocked,NEW YORK
280746,2011-06-20 00:00:00,2011-06-30 00:00:00,DOHMH,Rodent,Condition Attracting Rodents,BROOKLYN
280747,2011-06-20 19:55:56,2011-06-20 21:18:53,NYPD,Noise - Residential,Loud Music/Party,NEW YORK
280748,2011-06-20 20:49:40,2011-06-20 22:18:56,NYPD,Homeless Encampment,,BRONX
280749,2011-06-20 21:05:35,2011-06-20 22:42:19,NYPD,Blocked Driveway,Partial Access,SOUTH OZONE PARK
280750,2011-06-20 21:10:18,2011-06-20 23:29:19,NYPD,Noise - Residential,Loud Music/Party,BROOKLYN
280751,2011-06-20 21:54:32,2011-06-21 08:11:41,NYPD,Noise - Residential,Loud Talking,STATEN ISLAND
280752,2011-06-20 23:05:13,2011-06-20 23:33:25,NYPD,Blocked Driveway,Partial Access,ASTORIA
280753,2011-06-20 23:20:17,2011-06-21 07:24:03,NYPD,Noise - Residential,Loud Music/Party,STATEN ISLAND
280754,2011-06-20 23:28:00,2011-06-21 01:15:46,NYPD,Noise - Street/Sidewalk,Loud Talking,BROOKLYN
280755,2011-06-21 00:06:05,2011-06-21 01:43:05,NYPD,Illegal Parking,Blocked Sidewalk,SPRINGFIELD GARDENS
280756,2011-06-21 00:20:36,2011-06-21 09:38:22,DOT,Street Condition,"Rough, Pitted or Cracked Roads",BROOKLYN
280757,2011-06-21 00:23:59,2011-06-21 00:54:08,NYPD,Noise - Residential,Loud Music/Party,BROOKLYN
280758,2011-06-21 01:27:58,2011-06-21 05:17:11,NYPD,Blocked Driveway,No Access,HOWARD BEACH
280759,2011-06-21 01:58:26,2011-06-24 07:31:53,DOT,Street Condition,Cave-in,HOLLIS
280760,2011-06-20 19:53:55,2011-06-21 07:07:46,DPR,Overgrown Tree/Branches,Hitting Building,ROSEDALE
280761,2011-06-20 20:48:32,2011-06-21 03:17:03,NYPD,Blocked Driveway,No Access,BRONX
280762,2011-06-20 22:33:40,2011-06-20 22:42:17,NYPD,Noise - Residential,Loud Music/Party,NEW YORK
280763,2011-06-20 23:14:22,2011-06-21 03:33:13,NYPD,Blocked Driveway,No Access,RIDGEWOOD
280764,2011-06-20 23:26:12,2011-06-21 05:03:00,NYPD,Noise - Street/Sidewalk,Loud Talking,BRONX
280765,2011-06-20 23:34:36,2011-06-20 23:46:42,NYPD,Noise - Residential,Loud Music/Party,NEW YORK
280766,2011-06-20 23:42:28,2011-06-21 00:39:54,NYPD,Illegal Parking,Commercial Overnight Parking,BROOKLYN
280767,2011-06-20 23:49:40,2011-06-21 00:48:01,NYPD,Blocked Driveway,Partial Access,BROOKLYN
280768,2011-06-20 23:58:43,2011-06-21 00:48:02,NYPD,Noise - Residential,Loud Music/Party,BRONX
280769,2011-06-21 00:06:05,2011-06-21 02:40:48,NYPD,Noise - Residential,Banging/Pounding,BROOKLYN
280770,2011-06-21 00:26:28,2011-06-21 00:50:04,NYPD,Noise - Vehicle,Car/Truck Music,NEW YORK
280771,2011-06-21 00:58:10,2011-06-21 02:28:38,NYPD,Noise - Park,Loud Music/Party,NEW YORK
280772,2011-06-21 01:23:29,2011-06-21 01:33:59,NYPD,Homeless Encampment,,BROOKLYN
280773,2011-06-21 01:31:35,2011-06-21 07:34:31,NYPD,Noise - Commercial,Loud Music/Party,BROOKLYN
280774,2011-06-21 01:49:29,2011-07-07 11:07:28,DOHMH,Indoor Sewage,Sewage Odor,BROOKLYN
280775,2011-06-20 19:33:56,2011-07-12 02:12:33,TLC,Taxi Complaint,Driver Complaint,NEW YORK
280776,2011-06-20 19:42:21,2011-06-21 11:51:03,DOB,Construction,Initial - Construction,CORONA
280777,2011-06-20 20:09:38,2011-06-21 11:00:07,TLC,Taxi Complaint,Driver Complaint,NEW YORK
280778,2011-06-20 20:16:22,2011-07-12 02:12:28,TLC,Taxi Complaint,Driver Complaint,BROOKLYN
280779,2011-06-20 20:30:25,2011-07-25 15:15:40,DOT,Street Condition,Cave-in,BROOKLYN
280780,2011-06-20 20:54:44,2011-06-24 16:09:56,FDNY,Fire Alarm - New System,Existing Building,NEW YORK
280781,2011-06-20 22:12:53,2011-06-30 15:20:29,DFTA,Housing Options,Assisted Living,FLUSHING
280782,2011-06-20 00:00:00,2011-06-21 00:00:00,DOHMH,Rodent,Rat Sighting,BROOKLYN
280783,2011-06-20 23:40:13,2011-06-21 05:01:59,NYPD,Noise - Vehicle,Car/Truck Music,BROOKLYN
280784,2011-06-20 19:44:28,2011-07-06 09:13:44,DPR,New Tree Request,For One Address,BROOKLYN
280785,2011-06-20 21:39:47,,DOHMH,Food Establishment,Food Contains Foreign Object,NEW YORK
280786,2011-06-20 19:49:48,2011-07-12 02:12:26,TLC,Taxi Complaint,Driver Complaint,NEW YORK
280787,2011-06-20 20:26:54,2011-06-27 14:02:59,DOT,Street Condition,Cave-in,FRESH MEADOWS
280788,2011-06-20 21:01:49,2011-06-21 08:11:38,DOT,Street Condition,"Rough, Pitted or Cracked Roads",STATEN ISLAND
280789,2011-06-20 21:13:57,2011-06-22 15:54:49,DOT,Street Condition,Failed Street Repair,NEW YORK
280790,2011-06-20 21:34:45,2011-06-23 15:33:02,DOHMH,Food Establishment,Odor,NEW YORK
280791,2011-06-20 20:53:50,2011-06-21 00:31:47,NYPD,Illegal Parking,Commercial Overnight Parking,BROOKLYN
280792,2011-06-20 21:33:08,2011-06-20 21:54:34,NYPD,Noise - Street/Sidewalk,Loud Music/Party,NEW YORK
280793,2011-06-20 22:18:22,2011-07-06 01:06:47,DCA,Consumer Complaint,Damaged Vehicle,NEW YORK
280794,2011-06-20 20:08:19,2011-06-21 01:43:04,NYPD,Noise - Residential,Banging/Pounding,QUEENS VILLAGE
280795,2011-06-20 00:00:00,2011-06-21 00:00:00,DOHMH,Rodent,Rat Sighting,BROOKLYN
280796,2011-06-20 23:01:28,2011-06-21 00:37:52,NYPD,Blocked Driveway,Partial Access,WOODSIDE
280797,2011-06-20 23:06:59,2011-06-20 23:40:33,NYPD,Noise - Residential,Loud Music/Party,NEW YORK
280798,2011-06-20 23:54:24,2011-06-21 02:55:52,NYPD,Derelict Vehicle,With License Plate,CORONA
280799,2011-06-20 20:26:02,2012-08-15 08:55:35,DPR,New Tree Request,For One Address,BROOKLYN
280800,2011-06-20 20:31:28,2011-06-21 07:03:34,DPR,Overgrown Tree/Branches,Hitting Power/Phone Lines,FLUSHING
280801,2011-06-20 20:53:34,2011-06-21 10:33:14,DOT,Sidewalk Condition,Sidewalk Grating - Defective,BROOKLYN
280802,2011-06-20 23:05:58,2011-06-21 03:41:21,NYPD,Noise - Park,Loud Talking,MIDDLE VILLAGE
280803,2011-06-20 16:29:13,2011-07-14 09:36:05,DPR,Dead Tree,Dead/Dying Tree,STATEN ISLAND
280804,2011-06-20 16:36:13,2011-12-29 11:29:32,DPR,New Tree Request,For One Address,NEW YORK
280805,2011-06-20 17:22:18,2011-07-06 01:06:37,DCA,Consumer Complaint,Unlicensed,NEW YORK
280806,2011-06-20 18:20:07,2011-06-20 22:42:17,NYPD,Illegal Parking,Blocked Hydrant,SOUTH RICHMOND HILL
280807,2011-06-20 00:00:00,2011-07-27 09:45:13,DOHMH,Rodent,Rat Sighting,BROOKLYN
280808,2011-06-20 18:41:57,2011-06-21 06:03:32,DOT,Broken Muni Meter,Coin or Card Did Not Register,NEW YORK
280809,2011-06-20 00:00:00,2011-07-13 00:00:00,DOHMH,Rodent,Rat Sighting,JAMAICA
280810,2011-06-20 00:00:00,2011-09-21 00:00:00,DOHMH,Rodent,Rat Sighting,NEW YORK
280811,2011-06-20 20:22:26,,DCA,Consumer Complaint,Sidewalk Blocked,NEW YORK
280812,2011-06-20 21:19:34,2011-06-20 21:44:20,NYPD,Noise - Street/Sidewalk,Loud Music/Party,NEW YORK
280813,2011-06-20 22:11:50,2011-06-20 22:45:21,NYPD,Noise - Commercial,Loud Music/Party,BROOKLYN
280814,2011-06-20 16:37:58,2011-08-02 14:44:17,DPR,New Tree Request,For One Address,NEW YORK
280815,2011-06-20 16:38:58,2011-12-29 11:36:10,DPR,New Tree Request,For One Address,NEW YORK
280816,2011-06-20 16:40:43,2011-12-29 11:37:21,DPR,New Tree Request,For One Address,NEW YORK
280817,2011-06-20 16:41:58,2011-12-29 11:35:03,DPR,New Tree Request,For One Address,NEW YORK
280818,2011-06-20 16:42:48,2011-06-28 10:38:31,DOT,Street Condition,Failed Street Repair,CORONA
280819,2011-06-20 16:42:51,2011-06-28 10:37:26,DOT,Street Condition,Failed Street Repair,CORONA
280820,2011-06-20 16:42:52,2011-06-27 15:01:03,DOT,Street Condition,Failed Street Repair,CORONA
280821,2011-06-20 16:42:54,2011-06-28 10:22:15,DOT,Street Condition,Failed Street Repair,CORONA
280822,2011-06-20 21:21:37,2011-06-20 21:31:09,NYPD,Noise - Vehicle,Engine Idling,BRONX
280823,2011-06-20 22:15:45,2011-06-21 00:03:15,NYPD,Noise - Street/Sidewalk,Loud Talking,BROOKLYN
280824,2011-06-20 23:01:23,2011-06-21 00:04:16,NYPD,Noise - Residential,Loud Music/Party,BROOKLYN
280825,2011-06-20 23:06:03,2011-06-20 23:16:01,NYPD,Noise - Residential,Banging/Pounding,BRONX
280826,2011-06-20 23:08:08,2011-06-21 02:20:33,NYPD,Blocked Driveway,No Access,JAMAICA
280827,2011-06-20 23:23:13,2011-06-21 00:36:52,NYPD,Noise - Commercial,Loud Music/Party,BROOKLYN
280828,2011-06-20 23:29:50,2011-06-21 00:21:31,NYPD,Noise - Park,Loud Talking,BROOKLYN
280829,2011-06-20 23:36:20,2011-06-20 23:56:59,NYPD,Noise - Street/Sidewalk,Loud Music/Party,BRONX
280830,2011-06-20 23:54:15,2011-06-21 07:17:07,NYPD,Noise - Street/Sidewalk,Loud Talking,NEW YORK
280831,2011-06-21 00:06:51,2011-06-21 02:21:34,NYPD,Noise - Street/Sidewalk,Loud Music/Party,NEW YORK
280832,2011-06-21 00:24:41,2011-06-21 02:20:33,NYPD,Noise - Street/Sidewalk,Loud Music/Party,NEW YORK
280833,2011-06-21 01:01:52,2011-06-21 02:19:30,NYPD,Noise - Residential,Loud Talking,BROOKLYN
280834,2011-06-21 00:33:16,2011-06-21 02:16:28,NYPD,Noise - Residential,Loud Music/Party,BROOKLYN
280835,2011-06-21 01:23:23,2011-06-21 02:28:39,NYPD,Noise - Residential,Banging/Pounding,BROOKLYN
280836,2011-06-21 01:20:28,2011-06-21 02:39:46,NYPD,Illegal Parking,Blocked Hydrant,STATEN ISLAND
280837,2011-06-21 01:30:50,2011-06-21 02:40:47,NYPD,Noise - Vehicle,Car/Truck Music,BROOKLYN
280838,2011-06-21 01:37:33,2011-06-21 04:28:44,NYPD,Noise - Street/Sidewalk,Loud Talking,NEW YORK
280839,2011-06-20 21:27:29,2011-07-07 09:51:12,DPR,Dead Tree,Dead/Dying Tree,BROOKLYN
280840,2011-06-20 21:38:28,2014-05-02 12:52:21,DPR,Damaged Tree,Tree Alive - in Poor Condition,BROOKLYN
280841,2011-06-20 16:42:57,2011-06-28 10:45:28,DOT,Street Condition,Failed Street Repair,ELMHURST
280842,2011-06-20 16:42:59,2011-06-22 13:28:35,DOT,Street Condition,Defective Hardware,NEW YORK
280843,2011-06-20 16:43:01,2011-07-01 15:47:44,DOT,Street Condition,Failed Street Repair,NEW YORK
280844,2011-06-20 16:43:03,2011-06-22 15:51:39,DOT,Street Condition,Failed Street Repair,NEW YORK
280845,2011-06-20 16:43:04,2011-06-24 10:36:18,DOT,Street Condition,Failed Street Repair,NEW YORK
280846,2011-06-20 16:43:06,2011-07-01 15:48:48,DOT,Street Condition,Failed Street Repair,NEW YORK
280847,2011-06-20 16:43:11,2011-06-29 08:50:42,DOT,Street Condition,Failed Street Repair,RIDGEWOOD
280848,2011-06-20 16:43:13,2011-06-29 08:49:41,DOT,Street Condition,Failed Street Repair,RIDGEWOOD
280849,2011-06-20 16:43:15,2011-08-08 16:12:38,DPR,Damaged Tree,Branch Cracked and Will Fall,RIDGEWOOD
280850,2011-06-20 16:43:17,2011-06-29 08:49:40,DOT,Street Condition,Failed Street Repair,RIDGEWOOD
280851,2011-06-20 16:43:19,2011-07-01 15:49:53,DOT,Street Condition,Failed Street Repair,NEW YORK
280852,2011-06-20 16:43:21,2011-06-24 10:12:12,DOT,Street Condition,Defective Hardware,NEW YORK
280853,2011-06-20 16:43:23,2011-06-24 10:01:44,DOT,Street Condition,Failed Street Repair,NEW YORK
280854,2011-06-20 16:43:24,2011-06-24 09:54:26,DOT,Street Condition,Defective Hardware,NEW YORK
280855,2011-06-20 16:43:26,2011-06-29 11:39:27,DOT,Street Condition,Failed Street Repair,RIDGEWOOD
280856,2011-06-20 16:43:27,2011-06-28 15:50:47,DOT,Street Condition,Failed Street Repair,RIDGEWOOD
280857,2011-06-20 16:43:29,2011-06-28 15:56:01,DOT,Street Condition,Failed Street Repair,RIDGEWOOD
280858,2011-06-20 16:43:31,2011-06-28 15:56:01,DOT,Street Condition,Failed Street Repair,RIDGEWOOD
280859,2011-06-20 16:43:33,2011-06-24 10:19:26,DOT,Street Condition,Failed Street Repair,NEW YORK
280860,2011-06-20 16:43:34,2011-06-24 09:50:13,DOT,Street Condition,Failed Street Repair,NEW YORK
280861,2011-06-20 16:43:39,2011-07-01 15:18:20,DOT,Street Condition,Failed Street Repair,NEW YORK
280862,2011-06-20 16:43:40,2011-06-29 08:48:38,DOT,Street Condition,Failed Street Repair,RIDGEWOOD
280863,2011-06-20 16:43:42,2011-06-28 15:48:35,DOT,Street Condition,Failed Street Repair,RIDGEWOOD
280864,2011-06-20 16:43:48,2011-06-22 14:10:04,DOT,Street Condition,Cave-in,NEW YORK
280865,2011-06-20 16:43:52,2011-06-22 14:16:22,DOT,Street Condition,Failed Street Repair,NEW YORK
280866,2011-06-20 18:30:06,2011-06-29 18:07:27,DOT,Street Condition,Defective Hardware,NEW YORK
280867,2011-06-20 18:30:08,2011-07-01 15:47:42,DOT,Street Condition,Failed Street Repair,NEW YORK
280868,2011-06-20 18:30:09,2011-06-29 08:51:47,DOT,Street Condition,Cave-in,RIDGEWOOD
280869,2011-06-20 18:30:11,2011-06-29 11:40:32,DOT,Street Condition,Failed Street Repair,RIDGEWOOD
280870,2011-06-20 18:30:13,2011-06-29 13:09:03,DOT,Street Condition,Defective Hardware,NEW YORK
280871,2011-06-20 18:30:14,2011-06-28 15:46:24,DOT,Street Condition,Failed Street Repair,RIDGEWOOD
280872,2011-06-20 18:30:17,2011-06-29 11:37:20,DOT,Street Condition,Failed Street Repair,RIDGEWOOD
280873,2011-06-20 18:30:19,2011-06-30 14:57:58,DOT,Street Condition,Failed Street Repair,RIDGEWOOD
280874,2011-06-20 18:30:21,2011-06-28 16:09:42,DOT,Street Condition,Failed Street Repair,RIDGEWOOD
280875,2011-06-20 21:45:20,2011-06-20 22:51:25,NYPD,Noise - Commercial,Loud Music/Party,NEW YORK
280876,2011-06-20 22:06:15,2011-06-20 23:02:39,NYPD,Blocked Driveway,Partial Access,BROOKLYN
280877,2011-06-20 22:21:53,2011-06-21 00:24:39,NYPD,Noise - Residential,Loud Music/Party,BROOKLYN
280878,2011-06-20 23:00:18,2011-06-21 00:41:56,NYPD,Noise - Residential,Loud Music/Party,BROOKLYN
280879,2011-06-20 23:07:25,2011-06-21 02:29:39,NYPD,Noise - Residential,Loud Talking,BROOKLYN
280880,2011-06-20 23:36:00,2011-06-21 02:11:14,NYPD,Noise - House of Worship,Loud Music/Party,BROOKLYN
280881,2011-06-20 23:58:42,2011-06-21 02:21:35,NYPD,Noise - Vehicle,Car/Truck Music,NEW YORK
280882,2011-06-21 00:07:50,2011-06-21 00:48:01,NYPD,Urinating in Public,,NEW YORK
280883,2011-06-21 00:47:41,2011-06-21 04:30:47,NYPD,Noise - Residential,Loud Music/Party,ASTORIA
280884,2011-06-21 01:18:43,2011-06-21 01:43:04,NYPD,Noise - Residential,Loud Music/Party,BROOKLYN
280885,2011-06-21 01:48:46,2011-06-21 02:20:31,NYPD,Noise - Commercial,Loud Talking,NEW YORK
280886,2011-06-20 22:14:09,2011-06-28 15:42:09,DOT,Street Condition,Cave-in,FRESH MEADOWS
280887,2011-06-20 23:13:28,2011-06-21 01:31:57,NYPD,Noise - Residential,Loud Music/Party,BROOKLYN
280888,2011-06-20 23:33:21,2011-06-21 03:22:04,NYPD,Noise - Street/Sidewalk,Loud Music/Party,NEW YORK
280889,2011-06-21 00:35:37,2011-06-21 02:27:37,NYPD,Blocked Driveway,No Access,BROOKLYN
280890,2011-06-21 01:00:58,2011-06-21 03:40:19,NYPD,Blocked Driveway,No Access,RIDGEWOOD
280891,2011-06-20 22:56:27,2011-06-20 23:19:08,NYPD,Illegal Fireworks,,ELMHURST
280892,2011-06-20 16:42:58,2013-06-04 08:56:51,DPR,New Tree Request,For One Address,NEW YORK
280893,2011-06-20 16:43:43,2011-12-29 11:33:58,DPR,New Tree Request,For One Address,NEW YORK
280894,2011-06-20 16:44:28,2011-12-29 11:42:54,DPR,New Tree Request,For One Address,NEW YORK
280895,2011-06-20 16:45:13,2011-12-29 11:48:18,DPR,New Tree Request,For One Address,NEW YORK
280896,2011-06-20 16:51:36,2011-07-06 10:46:20,DPR,Maintenance or Facility,Structure - Outdoors,NEW YORK
280897,2011-06-20 17:13:48,2011-07-06 15:07:39,DPR,Overgrown Tree/Branches,Hitting Building,BROOKLYN
280898,2011-06-20 16:57:56,,DOHMH,Food Establishment,Bare Hands in Contact w/ Food,NEW YORK
280899,2011-06-20 17:05:08,2011-06-21 11:00:08,TLC,Taxi Complaint,Driver Complaint,NEW YORK
280900,2011-06-20 18:02:29,2011-11-09 10:52:21,DPR,Illegal Tree Damage,Unauthorized Tree Removal,QUEENS VILLAGE
280901,2011-06-20 18:19:04,2011-06-20 19:15:52,NYPD,Illegal Parking,Blocked Sidewalk,BROOKLYN
280902,2011-06-20 18:37:23,2011-06-20 20:04:38,NYPD,Noise - Park,Loud Talking,NEW YORK
280903,2011-06-20 00:00:00,2011-08-08 14:44:07,DOHMH,Rodent,Rat Sighting,NEW YORK
280904,2011-06-20 19:01:41,2011-06-20 22:13:50,DOT,Street Condition,Unsafe Worksite,NEW YORK
280905,2011-06-20 19:01:56,2011-06-20 23:11:53,NYPD,Blocked Driveway,Partial Access,RIDGEWOOD
280906,2011-06-20 19:12:01,2011-06-29 10:47:37,DPR,Damaged Tree,Branch or Limb Has Fallen Down,BROOKLYN
280907,2011-06-20 19:25:44,2011-06-20 22:57:33,NYPD,Illegal Parking,Blocked Sidewalk,SOUTH RICHMOND HILL
280908,2011-06-20 19:32:47,2011-06-21 00:38:54,NYPD,Illegal Parking,Commercial Overnight Parking,BROOKLYN
280909,2011-06-20 19:52:23,2011-12-08 12:33:10,DPR,Overgrown Tree/Branches,Dead Branches in Tree,BROOKLYN
280910,2011-06-20 19:45:10,2011-06-20 21:12:46,NYPD,Illegal Parking,Commercial Overnight Parking,BROOKLYN
280911,2011-06-20 20:05:28,2011-06-21 08:11:37,NYPD,Noise - Street/Sidewalk,Loud Talking,NEW YORK
280912,2011-06-20 20:09:14,2011-06-20 21:19:54,NYPD,Blocked Driveway,No Access,RICHMOND HILL
280913,2011-06-20 20:16:52,2011-06-20 22:06:46,NYPD,Illegal Parking,Unauthorized Bus Layover,RIDGEWOOD
280914,2011-06-20 20:22:21,2011-06-20 22:18:56,NYPD,Blocked Driveway,Partial Access,JAMAICA
280915,2011-06-20 20:32:41,2011-06-20 21:22:56,NYPD,Noise - Street/Sidewalk,Loud Music/Party,BRONX
280916,2011-06-20 21:26:12,2011-06-20 21:50:31,NYPD,Illegal Parking,Commercial Overnight Parking,NEW YORK
280917,2011-06-20 22:22:07,2011-08-26 07:00:25,DOT,Street Sign - Damaged,Bus Stop,NEW YORK
280918,2011-06-20 23:54:50,2011-09-21 15:49:07,TLC,Taxi Complaint,Driver Complaint,NEW YORK
280919,2011-06-21 00:11:47,2011-06-24 12:52:33,DOT,Street Condition,Cave-in,BROOKLYN
280920,2011-06-21 00:00:00,2011-06-30 15:54:42,DOHMH,Rodent,Signs of Rodents,BRONX
280921,2011-06-20 22:21:35,2011-06-20 23:24:13,NYPD,Noise - Street/Sidewalk,Loud Talking,BROOKLYN
280922,2011-06-20 23:00:52,2011-06-21 00:38:53,NYPD,Noise - Residential,Loud Music/Party,JAMAICA
280923,2011-06-20 23:40:42,2011-06-21 03:24:07,NYPD,Blocked Driveway,No Access,BROOKLYN
280924,2011-06-20 22:31:17,2011-07-12 02:12:30,TLC,Taxi Complaint,Driver Complaint,NEW YORK
280925,2011-06-20 22:34:24,2011-06-24 12:48:52,DOT,Street Condition,Defective Hardware,BROOKLYN
280926,2011-06-20 22:54:53,2011-07-12 02:11:53,TLC,For Hire Vehicle Complaint,Driver Complaint,NEW YORK
280927,2011-06-20 23:15:03,2011-06-24 11:42:21,DOT,Street Condition,Failed Street Repair,NEW YORK
280928,2011-06-21 00:01:32,2011-08-10 15:09:23,TLC,Taxi Complaint,Driver Complaint,NEW YORK
280929,2011-06-21 01:01:22,2011-06-21 12:17:55,DFTA,Housing - Low Income Senior,,NEW YORK
280930,2011-06-20 21:55:23,2011-06-20 23:38:32,NYPD,Noise - Commercial,Loud Talking,NEW YORK
280931,2011-06-20 22:25:29,2011-06-21 00:53:07,NYPD,Noise - Residential,Loud Music/Party,BRONX
280932,2011-06-20 23:58:47,2011-06-21 00:20:29,NYPD,Noise - Commercial,Loud Music/Party,NEW YORK
280933,2011-06-21 00:00:00,2011-06-03 00:00:00,DOHMH,Rodent,Rat Sighting,BRONX
280934,2011-06-20 16:45:58,2011-06-21 09:04:21,DPR,New Tree Request,For One Address,NEW YORK
280935,2011-06-20 16:46:43,2013-06-04 08:57:56,DPR,New Tree Request,For One Address,NEW YORK
280936,2011-06-20 16:47:28,2011-12-29 10:41:32,DPR,New Tree Request,For One Address,NEW YORK
280937,2011-06-20 18:00:48,2011-06-20 18:57:27,NYPD,Noise - Residential,Loud Music/Party,BRONX
280938,2011-06-20 00:00:00,2011-05-12 00:00:00,DOHMH,Rodent,Condition Attracting Rodents,BRONX
280939,2011-06-20 21:19:06,2011-06-20 23:18:04,NYPD,Noise - Residential,Loud Music/Party,CORONA
280940,2011-06-20 21:48:26,2011-06-20 22:51:26,NYPD,Noise - Commercial,Loud Talking,NEW YORK
280941,2011-06-20 22:29:05,2011-06-20 23:10:51,NYPD,Noise - Residential,Loud Music/Party,NEW YORK
280942,2011-06-20 23:00:54,2011-06-21 01:09:34,NYPD,Noise - Residential,Loud Music/Party,BRONX
280943,2011-06-20 23:06:06,2011-06-20 23:16:02,NYPD,Noise - Vehicle,Car/Truck Music,NEW YORK
280944,2011-06-20 23:15:29,2011-06-21 02:16:28,NYPD,Noise - Residential,Loud Music/Party,BRONX
280945,2011-06-20 23:20:34,2011-06-21 00:04:16,NYPD,Noise - Residential,Loud Music/Party,NEW YORK
280946,2011-06-20 23:27:35,2011-06-21 00:34:50,NYPD,Noise - Residential,Loud Talking,BROOKLYN
280947,2011-06-20 23:33:18,2011-06-21 01:04:21,NYPD,Blocked Driveway,No Access,QUEENS VILLAGE
280948,2011-06-21 00:41:11,,DPR,Overgrown Tree/Branches,Blocking Street,STATEN ISLAND
280949,2011-06-21 01:10:02,2011-06-21 04:00:30,NYPD,Blocked Driveway,No Access,EAST ELMHURST
280950,2011-06-20 17:31:37,,DOHMH,Food Poisoning,3 or More,
280951,2011-06-20 23:02:14,2011-06-22 11:20:30,DPR,New Tree Request,For Whole Block,NEW YORK
280952,2011-06-20 23:06:28,2011-07-18 10:42:53,DPR,New Tree Request,For Whole Block,NEW YORK
280953,2011-06-20 23:24:28,2011-06-22 11:34:24,DPR,New Tree Request,For One Address,NEW YORK
280954,2011-06-21 00:28:31,2011-06-21 05:03:01,NYPD,Noise - Street/Sidewalk,Loud Talking,BRONX
280955,2011-06-21 00:47:08,2011-06-21 00:54:08,NYPD,Noise - Residential,Banging/Pounding,BROOKLYN
280956,2011-06-21 00:53:51,2011-07-06 01:06:34,DCA,Consumer Complaint,Mandatory Tip,FLUSHING
280957,2011-06-21 01:48:44,2011-06-21 07:03:36,DPR,Root/Sewer/Sidewalk Condition,Affecting Sewer or Foundation,ASTORIA
