,Citation Number,Date Issued,Time Issued,Location,District,Cited Person Sex,Cited Person Race,Cited Person Age,Offense Code,Offense Description,Officer Age,Officer Sex,Officer Race,Quarter,Year
701,   C11380,2019-05-27 00:00:00,18:43:00,S WALNUT ST & E WINSLOW RD,LB422,M,B,49,9-18.1-4-5,OPERATING VEH W/OUT PROPER PROOF OF REGISTRATION,30,M,W,2,2019
702,   C11381,2019-05-27 00:00:00,18:43:00,S WALNUT ST & E WINSLOW RD,LB422,M,B,49,9-24-1-1,"LICENSES, CLASSES OF",30,M,W,2,2019
703,   C11712,2019-06-30 00:00:00,14:49:00,S WALNUT ST & E 2ND ST,LB410,M,W,22,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,30,M,W,2,2019
704,   C11569,2019-06-09 00:00:00,20:06:00,S ROCKPORT RD & W TAPP RD,LB432,F,B,39,9-24-19-1,DRIVING WHILE SUSPENDED,30,M,W,2,2019
705,   C11664,2019-06-22 00:00:00,15:29:00,S CURRY PIKE & W GIFFORD RD,LMS29,F,U,20,9-24-19-1,DRIVING WHILE SUSPENDED,30,M,W,2,2019
706,   C11178,2019-05-08 00:00:00,19:18:00,W 3RD ST & S MULLER PKWY,LB522,F,B,19,9-24-19-1,DRIVING WHILE SUSPENDED,30,M,W,2,2019
707,   C11103,2019-04-25 00:00:00,14:59:00,W STATE ROAD 45 & S CURRY PIKE,LB427,M,W,24,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,30,M,W,2,2019
708,   C11568,2019-06-09 00:00:00,20:06:00,S ROCKPORT RD & W TAPP RD,LB432,F,B,39,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,30,M,W,2,2019
709,   C11711,2019-06-30 00:00:00,08:11:00,W PATTERSON DR & S MORTON ST,LB411,M,W,30,9-24-19-1,DRIVING WHILE SUSPENDED,30,M,W,2,2019
710,   C11040,2019-04-16 00:00:00,23:30:00,620 N COLLEGE AVE,LB519,F,U,23,14.09.030,NOISE VIOLATION,31,M,W,2,2019
711,   C10988,2019-04-10 00:00:00,00:24:00,1305 W 11TH ST; 1/2,LB517,M,U,20,14.09.030,NOISE VIOLATION,31,M,W,2,2019
712,   C11374,2019-05-28 00:00:00,22:51:00,W 3RD ST & S LANDMARK AVE,LB522,F,W,21,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,31,M,W,2,2019
713,   C11012,2019-04-12 00:00:00,21:00:00,210 E 17TH ST,LB213,M,W,22,14.09.030,NOISE VIOLATION,31,M,W,2,2019
714,   C11013,2019-04-12 00:00:00,21:00:00,210 E 17TH ST,LB213,M,W,22,14.09.030,NOISE VIOLATION,31,M,W,2,2019
715,   C11014,2019-04-12 00:00:00,21:00:00,210 E 17TH ST,LB213,M,W,22,14.09.030,NOISE VIOLATION,31,M,W,2,2019
716,   C11010,2019-04-12 00:00:00,19:00:00,1214 N WASHINGTON ST,LB213,M,W,21,14.09.030,NOISE VIOLATION,31,M,W,2,2019
717,   C11589,2019-06-11 00:00:00,17:19:00,S COLLEGE MALL RD & E COVENANTER DR,LB310,M,W,85,9-21-8-24,"UNSAFE MOVEMENT,LANE TO LANE",25,M,B,2,2019
718,   C11386,2019-05-29 00:00:00,21:04:00,E MOORES PIKE & S SMITH RD,LB320,M,U,34,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,25,M,B,2,2019
719,   C11480,2019-06-01 00:00:00,15:13:00,1825 N KINSER PIKE; KROGER NORTH,LB510,F,W,33,9-24-19-1,DRIVING WHILE SUSPENDED,25,M,B,2,2019
720,   C11480,2019-06-01 00:00:00,15:13:00,1825 N KINSER PIKE; KROGER NORTH,LB510,F,W,33,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,25,M,B,2,2019
721,   C11626,2019-06-20 00:00:00,15:32:00,E 7TH ST & N STATE ROAD 46,LB222,F,U,47,9-18.1-4-5,OPERATING VEH W/OUT PROPER PROOF OF REGISTRATION,25,M,B,2,2019
722,   C11159,2019-05-04 00:00:00,02:25:00,N WALNUT ST & E 6TH ST,LB102,F,S,40,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,25,M,B,2,2019
723,   C11162,2019-05-03 00:00:00,19:19:00,939 N JACKSON ST,LB518,M,W,24,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,25,M,B,2,2019
724,   C11162,2019-05-03 00:00:00,19:19:00,939 N JACKSON ST,LB518,M,W,24,9-24-19-1,DRIVING WHILE SUSPENDED,25,M,B,2,2019
725,   C11379,2019-05-29 00:00:00,15:47:00,COLLEGE AVE & OLD ST 37,LB512,M,B,54,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,25,M,B,2,2019
726,   C11364,2019-05-23 00:00:00,20:53:00,S MORTON ST & W 2ND ST,LB409,M,B,25,9-24-19-1,DRIVING WHILE SUSPENDED,25,M,B,2,2019
727,   C11056,2019-04-17 00:00:00,18:58:00,N GRANT ST & E 6TH ST,LB102,F,B,16,9-24-7-4,LEARNERS PERMIT,25,M,B,2,2019
728,   C11145,2019-05-02 00:00:00,20:32:00,E STATE ROAD 45 46 BYPASS & N DUNN ST,LB209,M,S,21,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,25,M,B,2,2019
729,   C10949,2019-04-07 00:00:00,20:15:00,W 2ND ST & S MADISON ST,LB409,M,W,48,9-24-19-1,DRIVING WHILE SUSPENDED,25,M,B,2,2019
730,   C10949,2019-04-07 00:00:00,20:15:00,W 2ND ST & S MADISON ST,LB409,M,W,48,9-24-13-3,POSSESSION & DISPLAY OF DL AND PERMIT REQUIRED,25,M,B,2,2019
731,   C11483,2019-06-02 00:00:00,19:39:00,E GRAHAM PL & S HENDERSON ST,LB327,M,W,57,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,25,M,B,2,2019
732,   C10945,2019-04-07 00:00:00,13:00:00,380 N JACOB DR; CRACKER BARREL,LB523,M,W,27,9-18-2-21,REGISTRATION CERTIFICATE,42,F,W,2,2019
733,   C10945,2019-04-07 00:00:00,13:00:00,380 N JACOB DR; CRACKER BARREL,LB523,M,W,27,9-19-11-2,CHILD RESTRAINT UNDER 3 YEARS,42,F,W,2,2019
734,   C11691,2019-06-26 00:00:00,07:19:00,S PATTERSON DR & S ADAMS ST,LB406,M,W,33,9-21-3-7,DISREGARDING AUTOMATIC SIGNAL,42,F,W,2,2019
735,   C11362,2019-05-22 00:00:00,07:50:00,W 3RD ST & S JOHNSON AVE,LB404,M,S,28,9-24-19-1,DRIVING WHILE SUSPENDED,42,F,W,2,2019
736,   C11690,2019-06-26 00:00:00,07:19:00,S PATTERSON DR & S ADAMS ST,LB406,M,W,33,9-24-19-1,DRIVING WHILE SUSPENDED,42,F,W,2,2019
737,   C12133,2019-09-22 00:00:00,19:21:00,S WALNUT ST & W PINEWOOD DR,LB328,M,B,56,9-18.1-4-5,OPERATING VEH W/OUT PROPER PROOF OF REGISTRATION,26,M,W,3,2019
738,   C11852,2019-07-28 00:00:00,08:53:00,W 3RD ST & S LANDMARK AVE,LB522,F,W,47,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,3,2019
739,   C12044,2019-09-04 00:00:00,17:58:00,S WASHINGTON ST & E 2ND ST,LB301,M,W,29,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,3,2019
740,   C12044,2019-09-04 00:00:00,17:58:00,S WASHINGTON ST & E 2ND ST,LB301,M,W,29,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,W,3,2019
741,   C12100,2019-09-14 00:00:00,18:25:00,S WALNUT ST & E WINSLOW RD,LB422,M,W,41,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,3,2019
742,   C12140,2019-09-24 00:00:00,14:56:00,S WALNUT ST & E SMITH AVE,LB103,M,B,26,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,3,2019
743,   C12141,2019-09-24 00:00:00,14:56:00,S WALNUT ST & E SMITH AVE,LB103,M,B,26,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,W,3,2019
744,   C11802,2019-07-19 00:00:00,08:14:00,S WALNUT ST & E GRIMES LN,LB411,M,W,36,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,3,2019
745,   C11799,2019-07-18 00:00:00,16:31:00,N CURRY PIKE & W VERNAL PIKE,LMN09,M,W,49,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,3,2019
746,   C11859,2019-07-29 00:00:00,16:45:00,S WALNUT ST & E WINSLOW RD,LB422,M,U,25,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,26,M,W,3,2019
747,   C11720,2019-07-03 00:00:00,16:49:00,N JACKSON ST & W 17TH ST,LB518,M,W,57,9-21-5-2,SPEED MAXIMUM,26,M,W,3,2019
748,   C11861,2019-07-29 00:00:00,14:28:00,S WALNUT ST & E GRIMES LN,LB411,M,W,38,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,3,2019
749,   C11857,2019-07-29 00:00:00,17:53:00,S MAXWELL ST & E HILLSIDE DR,LB312,M,W,34,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,3,2019
750,   C11719,2019-07-03 00:00:00,16:49:00,N JACKSON ST & W 17TH ST,LB518,M,W,57,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,3,2019
751,   C12045,2019-09-03 00:00:00,14:24:00,N STATE ROAD 37 45 & N STATE ROAD 37,LB514,M,W,24,9-21-5-2,SPEED MAXIMUM,25,M,L,3,2019
752,   C12158,2019-09-27 00:00:00,21:03:00,W DODDS ST & S ROGERS ST,LB412,M,U,32,9-24-19-1,DRIVING WHILE SUSPENDED,25,M,L,3,2019
753,   C12046,2019-09-03 00:00:00,16:38:00,S LINCOLN ST & E 3RD ST,LB104,M,S,22,9-24-19-1,DRIVING WHILE SUSPENDED,25,M,L,3,2019
754,   C11803,2019-07-20 00:00:00,19:14:00,N COLLEGE AVE & W 10TH ST,LB101,M,W,55,9-18.1-11-5(a),FAILURE TO REGISTER,26,M,W,3,2019
755,   C11885,2019-08-05 00:00:00,03:39:00,S BANTA AVE & W COUNTRY CLUB DR,LB423,M,W,28,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,26,M,W,3,2019
756,   C11884,2019-08-05 00:00:00,03:39:00,S BANTA AVE & W COUNTRY CLUB DR,LB423,M,W,28,9-21-8-7,PASSING IMPROPER ON THE LEFT,26,M,W,3,2019
757,   C11883,2019-08-05 00:00:00,03:39:00,S BANTA AVE & W COUNTRY CLUB DR,LB423,M,W,28,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,3,2019
758,   C12040,2019-09-03 00:00:00,14:08:00,S CURRY PIKE & W 3RD ST,LB402,M,W,40,9-30-15-3,OPEN CONTAINERS IN PASSENGER COMPARTMENT,26,M,W,3,2019
759,   C11847,2019-07-27 00:00:00,23:44:00,S HENDERSON ST & E WYLIE FARM RD,LB327,M,W,44,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,3,2019
760,   C11896,2019-08-06 00:00:00,01:16:00,3702 W 3RD ST; TACO BELL WEST,LB524,M,W,53,35-45-3-2,LITTERING,26,M,W,3,2019
761,   C12135,2019-09-22 00:00:00,23:42:00,S HENDERSON ST & E WINSLOW RD,LB327,M,W,32,9-24-18-1,DRIVING WITHOUT A LICENSE,26,M,W,3,2019
762,   C12135,2019-09-22 00:00:00,23:42:00,S HENDERSON ST & E WINSLOW RD,LB327,M,W,32,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,26,M,W,3,2019
763,   C12135,2019-09-22 00:00:00,23:42:00,S HENDERSON ST & E WINSLOW RD,LB327,M,W,32,9-19-6-4,IMPROPER TAIL/LICENSE PLATE LI,26,M,W,3,2019
764,   C12127,2019-09-22 00:00:00,00:58:00,E 10TH ST & N WALNUT GROVE AVE,LB214,M,W,22,9-21-8-14,FOLLOWING TOO CLOSELY,26,M,W,3,2019
765,   C12126,2019-09-21 00:00:00,22:35:00,S WALDRON ST & W KIRKWOOD AVE,LB408,M,W,20,9-19-10-2,FRONT SEAT PASSENGER RESTRAINT,26,M,W,3,2019
766,   C12030,2019-08-30 00:00:00,23:21:00,S HENDERSON ST & E WINSLOW RD,LB327,M,W,32,9-21-8-25,"TURNS, SIGNALING",26,M,W,3,2019
767,   C12031,2019-08-30 00:00:00,23:21:00,S HENDERSON ST & E WINSLOW RD,LB327,M,W,32,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,26,M,W,3,2019
768,   C12012,2019-08-26 00:00:00,04:16:00,S GRANT ST & E KIRKWOOD AVE,LB102,M,B,38,9-21-8-2,LEFT OF CENTER,26,M,W,3,2019
769,   C11759,2019-07-06 00:00:00,04:06:00,2110 N WALNUT ST; CIRCLE S GAS NORTH WALNUT,LB212,F,W,52,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,3,2019
770,   C12013,2019-08-26 00:00:00,04:16:00,S GRANT ST & E KIRKWOOD AVE,LB102,M,B,38,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,26,M,W,3,2019
771,   C11865,2019-07-30 00:00:00,23:09:00,2200 S WALNUT ST,LB422,F,B,28,9-21-8-25,"TURNS, SIGNALING",26,M,W,3,2019
772,   C11944,2019-08-10 00:00:00,22:29:00,E NORTH DR & S WALNUT ST,LB421,F,W,22,9-21-8-25,"TURNS, SIGNALING",26,M,W,3,2019
773,   C11864,2019-07-30 00:00:00,23:09:00,2200 S WALNUT ST,LB422,F,B,28,9-30-15-3,OPEN CONTAINERS IN PASSENGER COMPARTMENT,26,M,W,3,2019
774,   C11874,2019-08-01 00:00:00,23:41:00,S ROGERS ST & W RALSTON DR,LB423,F,W,36,9-21-5-2,SPEED MAXIMUM,26,M,W,3,2019
775,   C11966,2019-08-15 00:00:00,22:58:00,W 3RD ST & S GATES DR,LB403,M,W,34,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,3,2019
776,   C11967,2019-08-15 00:00:00,22:58:00,W 3RD ST & S GATES DR,LB403,M,W,34,9-18.1-4-5,OPERATING VEH W/OUT PROPER PROOF OF REGISTRATION,26,M,W,3,2019
777,   C11882,2019-08-05 00:00:00,00:54:00,W GOURLEY PIKE & N KINSER PIKE,LB513,M,B,28,9-21-8-41,TRAFFIC CONTROL DEVICE DIS,26,M,W,3,2019
778,   C11869,2019-07-29 00:00:00,08:05:00,N COLLEGE AVE & W 7TH ST,LB101,F,L,25,9-24-1-1,"LICENSES, CLASSES OF",23,M,W,3,2019
779,   C12138,2019-09-24 00:00:00,10:57:00,N GRANT ST & E 17TH ST,LB213,M,W,39,9-24-8-3,MOTORCYCLE LEARNERS PERMIT,34,M,W,3,2019
780,   C12101,2019-09-16 00:00:00,06:32:00,300 E ALLEN ST,LB314,M,W,27,9-19-6-4,IMPROPER TAIL/LICENSE PLATE LI,34,M,W,3,2019
781,   C11821,2019-07-21 00:00:00,22:52:00,4730 E STATE ROAD 46,LMS09,M,W,43,9-21-5-2,SPEED MAXIMUM,32,M,W,3,2019
782,   C11886,2019-08-05 00:00:00,13:00:00,1175 S COLLEGE MALL RD; KROGER JACKSON CREEK,LB310,F,W,67,9-30-5-2,OPERATING WHILE INTOXICATED,32,M,W,3,2019
783,   C11853,2019-07-28 00:00:00,16:31:00,S WEIMER RD & W BLOOMFIELD RD,LB415,F,L,29,9-21-8-24,"UNSAFE MOVEMENT,LANE TO LANE",32,M,W,3,2019
784,   C12078,2019-09-10 00:00:00,23:11:00,S WALNUT ST & E BURKS DR,LB434,M,W,57,9-24-19-1,DRIVING WHILE SUSPENDED,32,M,W,3,2019
785,   C12033,2019-08-31 00:00:00,23:17:00,W 3RD ST & S GATES DR,LB403,F,B,35,9-24-19-1,DRIVING WHILE SUSPENDED,32,M,W,3,2019
786,   C12036,2019-09-01 00:00:00,22:31:00,W 3RD ST & S KIMBLE DR,LB404,M,W,26,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,32,M,W,3,2019
787,   C11760,2019-07-09 00:00:00,23:22:00,COLLEGE AVE & 11TH ST,LB519,M,U,21,9-21-8-41,TRAFFIC CONTROL DEVICE DIS,32,M,W,3,2019
788,   C12034,2019-08-31 00:00:00,23:17:00,W 3RD ST & S GATES DR,LB403,F,B,35,9-18.1-4-5,OPERATING VEH W/OUT PROPER PROOF OF REGISTRATION,32,M,W,3,2019
789,   C12085,2019-09-12 00:00:00,01:45:00,S WALNUT STREET PIKE & E BURKS DR,LB336,M,W,40,9-24-19-1,DRIVING WHILE SUSPENDED,32,M,W,3,2019
790,   C12047,2019-09-03 00:00:00,17:24:00,S RANSOM LN & W BLOOMFIELD RD,LB406,F,W,27,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,F,B,3,2019
791,   C12105,2019-09-16 00:00:00,17:45:00,3301 W 3RD ST; HARDEES,LB403,M,W,34,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,F,B,3,2019
792,   C12088,2019-09-11 00:00:00,14:26:00,S WALNUT ST & E BURKS DR,LB434,F,W,25,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,F,B,3,2019
793,   C11860,2019-07-29 00:00:00,18:30:00,S LINCOLN ST & E 1ST ST,LB301,M,U,41,9-21-8-32,DISREGARDING STOP SIGN,26,F,B,3,2019
794,   C11849,2019-07-28 00:00:00,22:02:00,N WALNUT ST & E STATE ROAD 45 46 BYPASS,LB511,M,W,31,9-21-8-31,"FAILURE TO YIELD, THRU HIGHWAY",47,M,W,3,2019
795,   C11848,2019-07-28 00:00:00,22:02:00,N WALNUT ST & E STATE ROAD 45 46 BYPASS,LB511,M,W,31,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,47,M,W,3,2019
796,   C11762,2019-07-10 00:00:00,14:53:00,245 N COLLEGE AVE,LB101,M,W,33,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,3,2019
797,   C11730,2019-07-07 00:00:00,16:56:00,S BANTA AVE & W GRAHAM DR,LB423,F,W,30,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,W,3,2019
798,   C12032,2019-09-01 00:00:00,00:36:00,S LINCOLN ST & E 3RD ST,LB104,F,W,20,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,W,3,2019
799,   C11756,2019-07-07 00:00:00,17:50:00,W 3RD ST & S PATTERSON DR,LB521,F,W,47,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,3,2019
800,   C12122,2019-09-19 00:00:00,07:35:00,N KINSER PIKE & W 17TH ST,LB519,F,L,30,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,26,M,W,3,2019
801,   C11986,2019-08-22 00:00:00,00:47:00,429 E SOUTHERN DR,LB315,M,U,21,14.09.030,NOISE VIOLATION,26,M,W,3,2019
802,   C12089,2019-09-07 00:00:00,22:53:00,1315 S WALNUT ST,LB314,U,W,21,14.09.030,NOISE VIOLATION,26,M,W,3,2019
803,   C12074,2019-09-07 00:00:00,17:00:00,S HENDERSON ST & E WINSLOW RD,LB327,F,W,30,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,38,F,W,3,2019
804,   C12074,2019-09-07 00:00:00,17:00:00,S HENDERSON ST & E WINSLOW RD,LB327,F,W,30,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,38,F,W,3,2019
805,   C11881,2019-08-04 00:00:00,04:37:00,1650 W BLOOMFIELD RD; PLUMBERS AND STEAM FITTERS,LB414,M,B,25,9-18.1-4-5,OPERATING VEH W/OUT PROPER PROOF OF REGISTRATION,31,M,W,3,2019
806,   C11725,2019-07-04 00:00:00,16:48:00,S WALNUT ST & E RHORER RD,LB434,F,W,19,9-18.1-4-5,OPERATING VEH W/OUT PROPER PROOF OF REGISTRATION,28,M,W,3,2019
807,   C12011,2019-08-25 00:00:00,18:09:00,2304 S ROGERS ST,LB423,F,W,24,9-21-8-35,"FAILURE TO YIELD, EMERG VEH",28,M,W,3,2019
808,   C12103,2019-09-14 00:00:00,19:47:00,S COLLEGE MALL RD & E 3RD ST,LB305,M,W,32,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,28,M,W,3,2019
809,   C12162,2019-09-29 00:00:00,15:43:00,E MILLER DR & S WALNUT ST,LB421,M,W,59,9-24-19-1,DRIVING WHILE SUSPENDED,28,M,W,3,2019
810,   C11945,2019-08-10 00:00:00,21:20:00,101 W 2ND ST; SEMINARY PARK,LB410,M,W,61,14.36.090,CONSUMPTION OF ALCOHOL IN PUBLIC,28,M,W,3,2019
811,   C11724,2019-07-04 00:00:00,16:48:00,S WALNUT ST & E RHORER RD,LB434,F,W,19,9-24-7-4,LEARNERS PERMIT,28,M,W,3,2019
812,   C12129,2019-09-20 00:00:00,17:58:00,S ROGERS ST & W GRAHAM DR,LB423,M,W,36,9-24-19-1,DRIVING WHILE SUSPENDED,28,M,W,3,2019
813,   C12062,2019-09-10 00:00:00,00:34:00,W KIRKWOOD AVE & N ADAMS ST,LB521,F,W,41,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,38,M,W,3,2019
814,   C12061,2019-09-10 00:00:00,00:35:00,W KIRKWOOD AVE & N ADAMS ST,LB521,F,W,41,9-19-6-17,STOP/SIGNAL LAMP REQUIREMENTS,38,M,W,3,2019
815,   C12060,2019-09-10 00:00:00,00:35:00,W KIRKWOOD AVE & N ADAMS ST,LB521,F,W,41,9-24-1-1,"LICENSES, CLASSES OF",38,M,W,3,2019
816,   C11775,2019-07-15 00:00:00,23:52:00,E NORTH DR & S WALNUT ST,LB421,M,W,17,9-21-5-2(1),EXCEEDING URBAN SPEED LIMIT,38,M,W,3,2019
817,   C11901,2019-08-06 00:00:00,23:01:00,S PATTERSON DR & W 3RD ST,LB406,M,W,32,9-24-19-1,DRIVING WHILE SUSPENDED,38,M,W,3,2019
818,   C11809,2019-07-21 00:00:00,02:40:00,W COOLIDGE DR & S ROCKPORT RD,LB423,F,W,24,9-24-19-1,DRIVING WHILE SUSPENDED,38,M,W,3,2019
819,   C11903,2019-08-07 00:00:00,22:35:00,S WALNUT ST & E WINSLOW RD,LB422,F,W,20,9-18-2-7,EXPIRED LICENSE PLATES,38,M,W,3,2019
820,   C11977,2019-08-16 00:00:00,00:42:00,W STATE ROAD 45 46 BYPASS & N STATE ROAD 37 RAMP,LB509,M,U,29,9-21-5-2,SPEED MAXIMUM,38,M,W,3,2019
821,   C11978,2019-08-15 00:00:00,23:41:00,W 2ND ST & S PATTERSON DR,LB406,F,W,23,9-24-19-1,DRIVING WHILE SUSPENDED,38,M,W,3,2019
822,   C12077,2019-09-09 00:00:00,22:38:00,S WALNUT ST & E WINSLOW RD,LB422,F,W,21,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,38,M,W,3,2019
823,   C12076,2019-09-08 00:00:00,23:55:00,S CURRY PIKE & W GIFFORD RD,LMS29,M,U,31,9-24-19-1,DRIVING WHILE SUSPENDED,38,M,W,3,2019
824,   C11964,2019-08-15 00:00:00,07:30:00,S WALNUT ST & E SOUTH DR,LB422,M,W,17,9-21-5-2,SPEED MAXIMUM,45,M,W,3,2019
825,   C11842,2019-07-25 00:00:00,23:15:00,MILE MARKER 120 NB I69; ON I69 ROUTE,LB514,F,W,34,9-24-1-1,"LICENSES, CLASSES OF",27,M,B,3,2019
826,   C11728,2019-07-04 00:00:00,14:50:00,MILE MARKER 118 NB I69; ON I69 ROUTE,LB404,M,B,33,9-24-1-1,"LICENSES, CLASSES OF",27,M,B,3,2019
827,   C12009,2019-08-24 00:00:00,21:53:00,S DUNN ST & E KIRKWOOD AVE,LB102,F,U,19,9-21-8-9,WRONG WAY ON ONE WAY,27,M,B,3,2019
828,   C11927,2019-08-09 00:00:00,00:15:00,N SUMMIT ST & N MONROE ST,LB517,F,W,52,9-18.1-4-5,OPERATING VEH W/OUT PROPER PROOF OF REGISTRATION,27,M,B,3,2019
829,   C11727,2019-07-03 00:00:00,18:09:00,S GRANT ST & E 4TH ST,LB104,M,W,54,9-21-8-32,DISREGARDING STOP SIGN,27,M,B,3,2019
830,   C12102,2019-09-15 00:00:00,01:02:00,2475 S WALNUT STREET PIKE; BIG RED LIQUORS WALNUT ST PIKE,LB327,F,W,29,9-24-1-1,"LICENSES, CLASSES OF",27,M,B,3,2019
831,   C12102,2019-09-15 00:00:00,01:02:00,2475 S WALNUT STREET PIKE; BIG RED LIQUORS WALNUT ST PIKE,LB327,F,W,29,9-24-19-1,DRIVING WHILE SUSPENDED,27,M,B,3,2019
832,   C11928,2019-08-09 00:00:00,00:15:00,N SUMMIT ST & N MONROE ST,LB517,F,W,52,9-24-1-1,"LICENSES, CLASSES OF",27,M,B,3,2019
833,   C11984,2019-08-19 00:00:00,21:17:00,S GRANT ST & E KIRKWOOD AVE,LB102,M,B,32,9-21-7-10,RED LIGHT - ILLEGAL DISPLAY (FROM FRONT,27,M,B,3,2019
834,   C12132,2019-09-21 00:00:00,01:43:00,S WALNUT ST & W SOUTHERN DR,LB421,M,S,20,9-21-3-7,DISREGARDING AUTOMATIC SIGNAL,27,M,B,3,2019
835,   C11824,2019-07-21 00:00:00,14:57:00,MILE MARKER 115 NB I69; ON I69 ROUTE,LMS21,F,U,26,9-21-5-2,SPEED MAXIMUM,27,M,B,3,2019
836,   C12131,2019-09-21 00:00:00,01:43:00,S WALNUT ST & W SOUTHERN DR,LB421,M,S,20,9-24-1-1,"LICENSES, CLASSES OF",27,M,B,3,2019
837,   C11811,2019-07-20 00:00:00,03:14:00,S WALNUT ST & E VERMILYA AVE,LB421,M,B,32,9-19-6-18,BACKUP LIGHTS,27,M,B,3,2019
838,   C11822,2019-07-20 00:00:00,04:15:00,S WALNUT ST & E 4TH ST,LB103,M,B,23,9-24-19-1,DRIVING WHILE SUSPENDED,27,M,B,3,2019
839,   C11806,2019-07-19 00:00:00,02:57:00,MILE MARKER 115 NB I69; ON I69 ROUTE,LMS21,F,U,26,9-21-5-2,SPEED MAXIMUM,27,M,B,3,2019
840,   C11765,2019-07-12 00:00:00,22:40:00,2620 S WALNUT ST,LB433,M,B,46,9-24-19-1,DRIVING WHILE SUSPENDED,32,M,W,3,2019
841,   C11766,2019-07-12 00:00:00,22:40:00,2620 S WALNUT ST,LB433,M,B,46,9-18-2-7,EXPIRED LICENSE PLATES,32,M,W,3,2019
842,   C12081,2019-09-08 00:00:00,01:31:00,N COLLEGE AVE & W 7TH ST,LB101,M,W,26,9-19-6-4,IMPROPER TAIL/LICENSE PLATE LI,32,M,W,3,2019
843,   C11767,2019-07-12 00:00:00,22:40:00,2620 S WALNUT ST,LB433,M,B,46,9-25-4-1,NO FINANCIAL RESPONSIBILITY,32,M,W,3,2019
844,   C12025,2019-08-26 00:00:00,16:22:00,S HENDERSON ST & E WINSLOW RD,LB327,M,W,44,9-21-8-24,"UNSAFE MOVEMENT,LANE TO LANE",32,M,W,3,2019
845,   C11876,2019-08-01 00:00:00,21:45:00,MILE MARKER 120 NB I69; ON I69 ROUTE,LB514,M,L,26,9-21-5-2,SPEED MAXIMUM,36,M,W,3,2019
846,   C11757,2019-07-09 00:00:00,20:15:00,MILE MARKER 117 NB I69; ON I69 ROUTE,LB417,M,B,20,9-21-5-2,SPEED MAXIMUM,36,M,W,3,2019
847,   C11946,2019-08-11 00:00:00,09:27:00,MILE MARKER 116 SB I69; ON I69 ROUTE,LB429,F,L,18,9-21-5-3,EXCEEDING POSTED SPEED LIMIT,36,M,W,3,2019
