,Event ,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race Caucasian, Non-Hispanic","Suspect Race  Caucasian, Hispanic","Suspect Race African American, Non-Hispanic","Suspect Race African American, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic",Year
290,"B19-52810
",1,WARRANT SERVICE,OFFICER REPORT,2019-12-20 00:00:00,14:24:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
291,B19-45741,4,SERVICE,OFFICER REPORT,2019-10-29 00:00:00,23:23:00,NO,YES,YES,NO,NO,"
",MENTALLY DISTURBED,NO,NO,INVOLVED,NO,NO,0.0,1.0,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
292,B19-53799,3,WELFARE CHECK,911,2019-12-28 00:00:00,20:49:00,YES,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2019
293,B18-00108,3,DOMESTIC IP ,TELEPHONE,2018-01-02 00:00:00,00:52:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
294,B18-00535,1,SEX ASSAULT IP,TELEPHONE,2018-01-05 00:00:00,01:48:00,YES,NO,YES,NO,NO,NO,INTOXICATED ,NO,NO,ARRESTEE,NO,NO,0.0,1.0,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
295,B18-00680,4,SEX ASSAULT IP,911 LINE,2018-01-06 00:00:00,09:21:00,YES,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
296,B18-00863,4,WEAPONS,911 LINE,2018-01-07 00:00:00,17:41:00,YES,NO,YES,NO,NO,NO,UNKNOWN,YES,YES,MENTIONED,NO,NO,0.0,1.0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
297,B18-00868,3,DRUNK,TELEPHONE,2018-01-07 00:00:00,19:51:00,YES,NO,NO,NO,NO,NO,INTOXICATED ,NO,NO,ARRESTEE,NO,NO,1.0,1.0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
298,B18-00913,5,DISTURBANCE IP ,TELEPHONE,2018-01-07 00:00:00,23:58:00,YES,YES,NO,NO,NO,NO,INTOXICATED ,YES,NO,ARRESTEE,NO,NO,0.0,1.0,43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
299,B18-01014,4,DOMESTIC IP,TELEPHONE,2018-01-08 00:00:00,19:18:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,JUVENILE REFERRAL,YES,NO,0.0,1.0,16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
300,B18-01248,4,SUSP ACT IP,OFFICER REPORT,2018-01-10 00:00:00,12:58:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,INVOLVED,NO,NO,1.0,0.0,34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
301,B18-01301,4,DISTURBANCE IP,911 LINE,2018-01-10 00:00:00,18:03:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,INVOLVED ,NO,NO,0.0,1.0,70,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
302,B18-01482,1,DISTURBANCE IP,TELEPHONE,2018-01-12 00:00:00,02:58:00,YES,NO,NO,NO,NO,NO,INTOXICATED ,NO,NO,ARRESTEE,NO,NO,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
303,B18-01486,3,DISTURBANCE IP,TELEPHONE,2018-01-12 00:00:00,03:29:00,NO,NO,YES,NO,NO,NO,INTOXICATED ,NO,NO,SUSPECT,NO,NO,0.0,1.0,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
304,B18-01882,3,ASSAULT IP,TELEPHONE,2018-01-15 00:00:00,16:32:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
305,B18-02386,3,MENTAL HLTH IP,911 LINE,2018-01-19 00:00:00,14:57:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,INVOLVED ,NO,NO,0.0,1.0,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
306,B18-02427,4,JUVENILE,TELEPHONE,2018-01-19 00:00:00,20:19:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,JUVENILE REFERRAL,NO,NO,0.0,1.0,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
307,B18-02432,3,DISTURBANCE IP,TELEPHONE,2018-01-19 00:00:00,20:39:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,37,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
308,B18-02485,4,TRAFFIC STOP,OFFICER REPORT,2018-01-20 00:00:00,03:51:00,YES,NO,YES,NO,YES,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
309,B18-02488,5,WEAPONS IP ,911 LINE,2018-01-20 00:00:00,04:45:00,YES,NO,YES,NO,NO,NO,INTOXICATED ,YES,NO,ARRESTEE,NO,NO,0.0,1.0,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
310,B18-02498,4,DISTURBANCE IP,OFFICER REPORT,2018-01-20 00:00:00,07:49:00,NO,YES,NO,NO,NO,NO,UNKNOWN ,NO,NO,ARRESTEE,NO,NO,0.0,1.0,36,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
311,B18-02547,4,SUSP ACT IP,OFFICER REPORT,2018-01-20 00:00:00,16:15:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,CAD,NO,NO,1.0,0.0,36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
312,B18-02683,4,DOMESTIC IP,911 LINE,2018-01-21 00:00:00,13:05:00,YES,NO,NO,NO,NO,NO,INTOXICATED ,NO,NO,ARRESTEE,YES,NO,0.0,1.0,36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
313,B18-02745,4,THEFT IP,OFFICER REPORT,2018-01-21 00:00:00,20:56:00,YES,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
314,B18-02791,4,ALARM,911 LINE,2018-01-22 00:00:00,01:25:00,YES,NO,NO,NO,NO,NO,INTOXICATED ,NO,YES,ARRESTEE,NO,NO,0.0,1.0,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
315,B18-03050,5,DOMESTIC IP,TELEPHONE,2018-01-24 00:00:00,02:52:00,NO,YES,YES,NO,NO,NO,INTOXICATED ,NO,NO,ARRESTEE,NO,NO,0.0,1.0,48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
316,B18-03301,2,DISTURBANCE IP,911 LINE,2018-01-25 00:00:00,18:24:00,YES,NO,NO,NO,NO,YES,MENTALLY DISTURBED,NO,NO,SUSPECT ,NO,NO,1.0,0.0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
317,B18-03606,5,DOMESTIC IP,911 LINE,2018-01-27 00:00:00,14:36:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,SUSPECT,NO,NO,1.0,0.0,46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
318,B18-03606,5,DOMESTIC IP,911 LINE,2018-01-27 00:00:00,14:36:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,JUVENILE REFERRAL,NO,NO,0.0,1.0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
319,B18-03666,3,SUSP ACT IP,OFFICER REPORT,2018-01-28 00:00:00,00:07:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,0.0,1.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
320,B18-03666,3,SUSP ACT IP,OFFICER REPORT,2018-01-28 00:00:00,00:07:00,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,0.0,1.0,25,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
321,B18-03964,3,DISTURBANCE NP,TELEPHONE,2018-01-30 00:00:00,18:02:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1.0,0.0,34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
322,B18-04146,3,WEAPONS IP ,TELEPHONE,2018-01-31 00:00:00,18:59:00,YES,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1.0,1.0,44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
323,B18-04146,3,WEAPONS IP ,TELEPHONE,2018-01-31 00:00:00,18:59:00,YES,NO,NO,NO,NO,NO,INTOXICATED,YES,YES,ARRESTEE,NO,NO,0.0,1.0,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
324,B18-04146,3,WEAPONS IP ,TELEPHONE,2018-01-31 00:00:00,18:59:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1.0,0.0,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
325,B18-04283,3,DISTURBANCE IP,TELEPHONE,2018-02-01 00:00:00,21:49:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,YES,NO,SUSPECT,NO,NO,1.0,0.0,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
326,B18-04519,3,WEAPONS IP ,911 LINE,2018-02-03 00:00:00,15:46:00,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,INVOLVED ,NO,NO,0.0,1.0,24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
327,B18-04528,2,JUVENILE,911 LINE,2018-02-03 00:00:00,16:56:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,JUVENILE REFERRAL,NO,NO,1.0,0.0,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
328,B18-04570,3,SUSP ACT IP,OFFICER REPORT,2018-02-03 00:00:00,22:29:00,YES,NO,NO,NO,NO,YES,NORMAL,NO,YES,SUSPECT,YES,NO,0.0,1.0,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
329,B18-04742,4,DOMESTIC,TELEPHONE,2018-02-05 00:00:00,12:20:00,YES,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
330,B18-04842,2,SUSP ACT IP,OFFICER REPORT,2018-02-06 00:00:00,01:25:00,YES,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,YES,NO,0.0,1.0,34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
331,B18-05055,1,DRUGS NP,911 LINE,2018-02-07 00:00:00,16:23:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
332,B18-05055,1,DRUGS NP,911 LINE,2018-02-07 00:00:00,16:23:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
333,B18-06013,3,EXTRA PATROL,911 LINE,2018-02-14 00:00:00,01:53:00,YES,NO,YES,NO,NO,NO,INTOXICATED,YES,YES,ARRESTEE,NO,NO,0.0,1.0,28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
334,B18-06013,3,EXTRA PATROL,911 LINE,2018-02-14 00:00:00,01:53:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1.0,0.0,22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
335,B18-06032,5,TRESPASS IP,TELEPHONE,2018-02-14 00:00:00,06:45:00,YES,NO,YES,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,NO,YES,0.0,1.0,50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
336,B18-06147,2,DRUNK,TELEPHONE,2018-02-15 00:00:00,01:39:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
337,B18-06429,5,TRAFFIC STOP,OFFICER REPORT,2018-02-17 00:00:00,03:52:00,NO,NO,YES,NO,YES,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
338,B18-06429,5,TRAFFIC STOP,OFFICER REPORT,2018-02-17 00:00:00,03:52:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,CONTACT,NO,NO,0.0,1.0,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
339,B18-06524,5,MENTAL HLTH IP,TELEPHONE,2018-02-17 00:00:00,22:04:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,INVOLVED,YES,NO,1.0,0.0,13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
340,B18-06561,2,DISTURBANCE,TELEPHONE,2018-02-18 00:00:00,06:38:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
341,B18-06561,2,DISTURBANCE,TELEPHONE,2018-02-18 00:00:00,06:38:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
342,B18-07132,4,WARRANT SERVICE,TELEPHONE,2018-02-21 00:00:00,19:50:00,YES,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
343,B18-07242,5,FOLLOW UP,TELEPHONE,2018-02-22 00:00:00,14:27:00,NO,NO,YES,NO,NO,NO,NORMAL ,NO,NO,MENTIONED,NO,NO,1.0,0.0,29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
344,B18-07242,5,FOLLOW UP,TELEPHONE,2018-02-22 00:00:00,14:27:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,MENTIONED,NO,NO,0.0,1.0,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
345,B18-07300,3,SUSP ACT IP,OFFICER REPORT,2018-02-22 00:00:00,22:22:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1.0,0.0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
346,B18-07319,3,DISTURBANCE IP,TELEPHONE,2018-02-22 00:00:00,23:41:00,YES,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,INVOLVED,YES,NO,1.0,0.0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
347,B18-07328,1,SUSP ACT IP,OFFICER REPORT,2018-02-23 00:00:00,00:38:00,YES,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
348,B18-07649,3,DOMESTIC IP,TELEPHONE,2018-02-25 00:00:00,00:41:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1.0,0.0,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
349,B18-07732,1,DISTURBANCE IP,OFFICER REPORT,2018-02-25 00:00:00,19:00:00,YES,NO,NO,NO,NO,YES,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
350,B18-07769,5,THEFT IP,TELEPHONE,2018-02-26 00:00:00,01:16:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
351,B18-07922,3,DOMESTIC IP,911 LINE,2018-02-27 00:00:00,01:08:00,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
352,B18-07922,3,DOMESTIC IP,911 LINE,2018-02-27 00:00:00,01:08:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,WITNESS,NO,NO,0.0,1.0,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
353,B18-07996,3,BURGLARY IP,TELEPHONE,2018-02-27 00:00:00,15:16:00,NO,NO,YES,NO,NO,NO,UNKNOWN,NO,NO,WITNESS,NO,NO,1.0,0.0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
354,B18-08178,3,ACCIDENT PI,TELEPHONE,2018-02-28 00:00:00,17:00:00,YES,NO,YES,NO,NO,NO,INTOXICATED,YES,YES,ARRESTEE,NO,NO,0.0,1.0,55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
355,B18-08305,4,DOMESTIC IP,911 LINE,2018-03-01 00:00:00,16:58:00,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,NO,NO,0.0,1.0,28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
356,B18-08589,4,DISTURBANCE IP,911 LINE,2018-03-03 00:00:00,03:00:00,NO,NO,YES,NO,NO,NO,INTOXICATED,YES,NO,INVOLVED,NO,NO,0.0,1.0,31,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
357,B18-08821,5,DOMESTIC IP,911 LINE,2018-03-04 00:00:00,16:02:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,NO,NO,0.0,1.0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
358,B18-08900,4,TRAFFIC STOP,OFFICER REPORT,2018-03-05 00:00:00,01:08:00,YES,NO,NO,NO,NO,YES,UNKNOWN,NO,NO,ARRESTEE,NO,NO,0.0,1.0,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
359,B18-09405,4,BURGLARY IP,TELEPHONE,2018-03-08 00:00:00,09:02:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,0.0,1.0,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
360,B18-09428,4,DISTURBANCE IP,911 LINE,2018-03-08 00:00:00,12:57:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,YES,NO,SUSPECT,NO,NO,0.0,1.0,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
361,B18-09481,5,DRUNK,TELEPHONE,2018-03-08 00:00:00,17:38:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,NO,NO,0.0,1.0,52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
362,B18-09754,3,DISTURBANCE IP,911 LINE,2018-03-10 00:00:00,12:38:00,YES,NO,NO,NO,NO,YES,MENTALLY DISTURBED,NO,YES,JEVENILE REFERRAL,NO,NO,0.0,1.0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
363,B18-09776,2,DOMESTIC IP,911 LINE,2018-03-10 00:00:00,15:09:00,NO,NO,YES,NO,YES,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,0.0,1.0,37,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
364,B18-09819,5,TRESPASS IP,TELEPHONE,2018-03-10 00:00:00,21:28:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,44,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
365,B18-09776,2,DOMESTIC IP,911,2018-03-10 00:00:00,15:09:00,NO,NO,YES,NO,NO,NO,UNKNOWN,NO,NO,VICTIM,NO,NO,1.0,0.0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
366,B18-10224,4,NOISE,TELEPHONE,2018-03-14 00:00:00,02:00:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
367,B18-10290,MCSO,WARRANT SERVICE,TELEPHONE,2018-03-14 00:00:00,17:24:00,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,0.0,1.0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
368,B18-10322,MCSO,WARRANT SERVICE,TELEPHONE,2018-03-14 00:00:00,23:30:00,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
369,B18-10386,4,WARRANT SERVICE,OFFICER REPORT,2018-03-15 00:00:00,11:20:00,YES,YES,NO,NO,NO,NO,UNKNOWN,NO,YES,ARRESTEE,YES,NO,0.0,1.0,47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
370,B18-10628,5,WELFARE CHK IP,TELEPHONE,2018-03-17 00:00:00,09:07:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,YES,ARRESTEE,YES,NO,0.0,1.0,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
371,B18-10849,4,SUSP ACT IP,OFFICER REPORT,2018-03-18 00:00:00,23:19:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
372,B18-10982,3,PROPERTY,911 LINE,2018-03-19 00:00:00,21:42:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,1.0,0.0,46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
373,B18-11105,5,CIRT,TELEPHONE,2018-03-20 00:00:00,19:39:00,YES,NO,YES,NO,NO,YES,NORMAL,YES,NO,ARRESTEE,NO,NO,0.0,1.0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
374,B18-11267,3,DISTURBANCE IP,TELEPHONE,2018-03-21 00:00:00,22:19:00,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,INVOLVED,NO,NO,0.0,1.0,46,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
375,B18-11757,4,WELFARE CHK IP,TELEPHONE,2018-03-25 00:00:00,10:26:00,NO,YES,NO,NO,NO,NO,NORMAL,NO,YES,SUSPECT,NO,NO,0.0,1.0,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
376,B18-11859,4,WEAPONS IP ,911 LINE,2018-03-26 00:00:00,02:57:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,0.0,1.0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
377,B18-11944,3,WARRANT SERVICE,OFFICER REPORT,2018-03-26 00:00:00,16:13:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
378,B18-11949,5,BURGLARY IP,TELEPHONE,2018-03-26 00:00:00,16:39:00,YES,NO,NO,NO,NO,YES,INTOXICATED,YES,YES,ARRESTEE,NO,NO,0.0,1.0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
379,B18-11969,3,DISTURBANCE IP,911 LINE,2018-03-26 00:00:00,19:47:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1.0,0.0,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
380,B18-11984,4,DISTURBANCE IP,911 LINE,2018-03-26 00:00:00,21:11:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,JUVENILE REFERRED,NO,NO,0.0,1.0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
381,B18-11984,4,DISTURBANCE IP,911 LINE,2018-03-26 00:00:00,21:11:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,JUVENILE REFERRED,NO,NO,0.0,0.0,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
382,B18-10699,3,WEAPONS IP ,TELEPHONE,2018-03-27 00:00:00,21:34:00,NO,NO,YES,NO,NO,NO,UNKNOWN,YES,NO,ARRESTEE,NO,NO,0.0,1.0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
383,B18-12096,4,WELFARE CHK IP,TELEPHONE,2018-03-27 00:00:00,18:34:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1.0,0.0,34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
384,B18-12486,2,ROBERRY IP,911 LINE,2018-03-30 00:00:00,05:48:00,YES,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
385,B18-12607,5,WELFARE CHK IP,TELEPHONE,2018-03-30 00:00:00,21:41:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,INVOLVED,NO,NO,0.0,1.0,59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
386,B18-12659,3,WELFARE CHK IP,TELEPHONE,2018-03-31 00:00:00,02:00:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
387,B18-12757,5,DISTURBANCE IP,TELEPHONE,2018-03-31 00:00:00,18:03:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,JUVENILE REFERED,NO,NO,0.0,1.0,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
388,B18-12769,3,BURGLARY IP,TELEPHONE,2018-03-31 00:00:00,20:25:00,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,INVOLVED,NO,NO,0.0,1.0,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
