Blunt Object,Category of Force Event - Measured at Event Level,Disposition/Custody,DOW,Firearm,Firearm - Implied,Firearm - Replica,Force Applied - 1,Force Applied - 2,Force Applied - 3,Force Applied - 4,Force Applied - 5,Force Applied - 6,Force Applied - 7,Force Applied - 8,Hour (6Hr),Initial Call Category,Initial Call type,Knife / Edged Weapon / Stabbing Instrument,"Mental Health Crisis - Prior to Force, Perceived Lack of Compliance",Month,Needle / Spit / Bodily Fluids,No weapon (unarmed),Officer,Officer Precinct,Officer Tenure,Other Weapon,Record ID,Subject,Subject - Race,Subject - Sex,Subject - Transient,Subject Age,Subject Instance,Subject Resistance - 1,Subject Resistance - 2,Subject Resistance - 3,Subject Resistance - 4,Subject Resistance - 5,Subject Resistance - 6,Subject Resistance - 7,Subject Resistance - 8,Type of Call,"Under the Influence of Alcohol - Prior to Force, Perceived Condition","Under the Influence of Drugs - Prior to Force, Perceived Condition",Weapon Present or reported but not used or threatened use,Year
,III,Cite and Release,Sunday,,,,Resisted HC,Control against Resistance,,,,,,,1800-2359,Disturbance,DISTURBANCE - PRIORITY,,,April,,No weapon (unarmed),148661,Central Precinct,7.758131659,,287536800,604724,White,Male,No,26.933474125,287536800604724,Active,Aggressive,,,,,,,Dispatched,,,,2019
,III,Cite and Release,Sunday,,,,Strikes/kicks,Control Against Resistance,,,,,,,0000-0559,Welfare Check,WELFARE CHECK - PRIORITY,,,January,,No weapon (unarmed),952041,North Precinct,3,,963545807,4103445,Asian,Male,No,22,9.63546e+15,Aggressive,Active,,,,,,,Dispatched,,Yes,,2020
,III,Cite and Release,Sunday,,,,Takedown (II and III),,,,,,,,0000-0559,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,,February,,No weapon (unarmed),744120,North Precinct,13,,631546304,240251,White,Male,Yes,43,6.31546e+14,Active,,,,,,,,Self-Initiated,,,,2020
,III,Cite and Release,Sunday,,,,Takedown (II and III),Control Against Resistance,,,,,,,0000-0559,Welfare Check,WELFARE CHECK - PRIORITY,,,January,,No weapon (unarmed),1042951,North Precinct,4,,963545807,4103445,Asian,Male,No,22,9.63546e+15,Aggressive,Active,,,,,,,Dispatched,,Yes,,2020
,III,Cite and Release,Sunday,,,,Takedown (II and III),Resisted HC,,,,,,,0000-0559,Welfare Check,WELFARE CHECK - PRIORITY,,,April,,No weapon (unarmed),932241,North Precinct,1.621889269,,558536793,1455901,White,Male,No,34.898601598,5585367931455901,Aggressive,Active,,,,,,,Dispatched,,Yes,,2019
,III,Cite and Release,Sunday,,,,Takedown (II and III),Resisted HC,,,,,,,1800-2359,Behavioral Health,ECIT,,,March,,No weapon (unarmed),853231,Central Precinct,1.605264460,,867536716,348893,Hispanic,Female,Yes,34.646360350,867536716348893,Aggressive,Active,,,,,,,Dispatched,,Yes,,2019
,III,Cite and Release,Sunday,,,,Takedown (II and III),Resisted HC,,,,,,,1800-2359,Behavioral Health,ECIT,,,March,,No weapon (unarmed),1084151,Central Precinct,2.177981355,,867536716,348893,Hispanic,Female,Yes,34.646360350,867536716348893,Aggressive,Active,,,,,,,Dispatched,,Yes,,2019
,III,Detained and Released,Sunday,,,,Control Against Resistance,,,,,,,,1200-1759,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,,February,,No weapon (unarmed),479388,East Precinct,23.848477930,,878526246,3896918,Black,Female,No,18.664916286,3896918878526246,Aggressive,,,,,,,,Dispatched,Yes,,,2018
,III,Detained and Released,Sunday,,,,Strikes/kicks,Control Against Resistance,,,,,,,0000-0559,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,,February,,No weapon (unarmed),649511,East Precinct,8.964876332,,878526246,3896918,Black,Female,No,18.663506469,3896918878526246,Aggressive,Aggressive,,,,,,,Dispatched,,,,2018
,III,Detained and Released,Sunday,,,,Takedown (II and III),Takedown (IV),,,,,,,1200-1759,Welfare Check,WELFARE CHECK - PRIORITY,,,September,,,852231,East Precinct,2.083580670,,985538957,604336,White,Male,No,27.626046423,985538957604336,Active,Active,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2019
,III,Detained and Released,Sunday,,,,Takedown (IV),Resisted HC,,,,,,,0000-0559,Behavioral Health,SUICIDE ATTEMPT OR THREAT,,Yes,August,,No weapon (unarmed),283071,Central Precinct,2.271619102,,567528313,826802,White,Male,No,51.477098554,567528313826802,Active,Active,,,,,,,Dispatched,,,,2018
,III,Detained and Released,Sunday,,,,Takedown (IV),Resisted HC,,,,,,,0000-0559,Behavioral Health,SUICIDE ATTEMPT OR THREAT,,Yes,August,,No weapon (unarmed),457891,Central Precinct,4.093536910,,567528313,826802,White,Male,No,51.477098554,567528313826802,Active,Active,,,,,,,Dispatched,,,,2018
,III,Detained and Released,Sunday,,,,Takedown (IV),Resisted HC,,,,,,,0000-0559,Behavioral Health,SUICIDE ATTEMPT OR THREAT,,Yes,August,,No weapon (unarmed),774420,Central Precinct,10.162030061,,567528313,826802,White,Male,No,51.477098554,567528313826802,Active,Active,,,,,,,Dispatched,,,,2018
,III,Escaped,Sunday,,,,Aerosol rest.,,,,,,,,1800-2359,Disturbance,DISTURBANCE - PRIORITY,,,December,,No weapon (unarmed),968339,North Precinct,18.85,,756529855,41903455,Unknown,Male,Unknown,,75652985541903455,Aggressive,,,,,,,,Dispatched,,,,2018
,III,Escaped,Sunday,,,,PFA,PIT - VIS,PFA,,,,,,0000-0559,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,,July,,No weapon (unarmed),1047151,Central Precinct,1.447039574,,966527967,293556,White,Male,Yes,48.548409437,966527967293556,Passive,Active,Active,,,,,,Self-Initiated,,Yes,,2018
,III,Release to Medical,Sunday,,,,Control against Resistance,Resisted HC,,,,,,,0000-0559,Assist,MEDICAL ASSIST,,,December,,No weapon (unarmed),306271,North Precinct,1.964935312,,555540043,600650,Black,Male,No,18.997812024,555540043600650,Active,Active,,,,,,,Dispatched,Yes,Yes,,2019
,III,Release to Medical,Sunday,,,,Control Against Resistance,Resisted HC,Takedown (II and III),,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,,February,,No weapon (unarmed),280471,North Precinct,8.984689878,,527526323,484187,White,Male,No,34.034004947,484187527526323,Active,Active,Active,,,,,,Dispatched,,Yes,,2018
,III,Release to Medical,Sunday,,,,Control against Resistance,Takedown (II and III),Control against Resistance,,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,,June,,,690111,East Precinct,2.655764840,Cigarette,356537681,437347,White,Female,Yes,38.329851598,356537681437347,Active,Aggressive,Aggressive,,,,,,Dispatched,,Yes,,2019
,III,Release to Medical,Sunday,,,,Control against Resistance,Takedown (II and III),Control against Resistance,,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,,June,,,775419,East Precinct,18.554509132,Cigarette,356537681,437347,White,Female,Yes,38.329851598,356537681437347,Active,Aggressive,Aggressive,,,,,,Dispatched,,Yes,,2019
,III,Release to Medical,Sunday,,,,Control against Resistance,Takedown (II and III),Control against Resistance,,,,,,1800-2359,Assist,ASSIST - CITIZEN OR AGENCY,,Yes,September,,,216161,East Precinct,2.503595890,,541538693,245409,White,Male,No,44.670719178,541538693245409,Active,Active,Active,,,,,,Dispatched,,Yes,Weapon Present or reported but not used or threatened use,2019
,III,Release to Medical,Sunday,,,,Control against Resistance,Takedown (II and III),Control against Resistance,,,,,,1800-2359,Assist,ASSIST - CITIZEN OR AGENCY,,Yes,September,,,776021,East Precinct,3.903614916,,541538693,245409,White,Male,No,44.670738204,541538693245409,Active,Active,Active,,,,,,Dispatched,,Yes,Weapon Present or reported but not used or threatened use,2019
,III,Release to Medical,Sunday,,,,Hobble,,,,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,,June,,,386281,East Precinct,1.370947489,Cigarette,356537681,437347,White,Female,Yes,38.329851598,356537681437347,Active,,,,,,,,Dispatched,,Yes,,2019
,III,Release to Medical,Sunday,,,,Hobble,Control against Resistance,,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,December,,No weapon (unarmed),853231,Central Precinct,2.293426560,,161539879,542114,Hispanic,Male,No,28.575618341,161539879542114,Active,Active,,,,,,,Dispatched,Yes,Yes,,2019
,III,Release to Medical,Sunday,,,,PFA,,,,,,,,-,Suspicious,SUSPICIOUS - WITH WEAPON *H,,,October,,,1119349,Personnel,17.634398782,,585519253,428053,Black,Male,No,21.628919330,428053585519253,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2017
,III,Release to Medical,Sunday,,,,Resisted HC,Takedown (II and III),,,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,,February,,No weapon (unarmed),475388,North Precinct,23.866881659,,527526323,484187,White,Male,No,34.034004947,484187527526323,Active,Active,,,,,,,Dispatched,,Yes,,2018
,III,Release to Medical,Sunday,,,,Resisted HC,Takedown (II and III),,,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,,February,,No weapon (unarmed),374178,North Precinct,25.669621385,,527526323,484187,White,Male,No,34.034004947,484187527526323,Active,Active,,,,,,,Dispatched,,Yes,,2018
,III,Release to Medical,Sunday,,,,Resisted HC,Takedown (II and III),Control against Resistance,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,December,,No weapon (unarmed),169261,Central Precinct,2.137262177,,161539879,542114,Hispanic,Male,No,28.575618341,161539879542114,Active,Active,Active,,,,,,Dispatched,Yes,Yes,,2019
,III,Release to Medical,Sunday,,,,Resisted HC,Takedown (II and III),Control against Resistance,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,December,,No weapon (unarmed),884231,Central Precinct,2.293426560,,161539879,542114,Hispanic,Male,No,28.575618341,161539879542114,Active,Active,Active,,,,,,Dispatched,Yes,Yes,,2019
,III,Release to Medical,Sunday,,,,Resisted HC,Takedown (II and III),Hobble,,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,,February,,No weapon (unarmed),927641,North Precinct,6.990169330,,527526323,484187,White,Male,No,34.034004947,484187527526323,Active,Active,Active,,,,,,Dispatched,,Yes,,2018
,III,Release to Medical,Sunday,,,,Strikes/kicks,,,,,,,,-,Unwanted Person,UNWANTED PERSON,Knife / Edged Weapon / Stabbing Instrument,,December,,,949741,North Precinct,5.206065449,,438519752,3565549,White,Male,Yes,22.178668189,3565549438519752,Active,,,,,,,,Dispatched,,Yes,,2017
,III,Release to Medical,Sunday,,,,Takedown,,,,,,,,-,Unwanted Person,UNWANTED PERSON,Knife / Edged Weapon / Stabbing Instrument,,December,,,1098151,North Precinct,0.871818874,,438519752,3565549,White,Male,Yes,22.178668189,3565549438519752,Active,,,,,,,,Dispatched,,Yes,,2017
,III,Release to Medical,Sunday,,,,Takedown (II and III),,,,,,,,1200-1759,Theft,THEFT - PRIORITY,,,May,,No weapon (unarmed),835131,East Precinct,2.560631659,,528537233,591940,Black,Male,Yes,34.930494673,528537233591940,Passive,,,,,,,,Dispatched,,,,2019
,III,Release to Medical,Sunday,,,,Takedown (II and III),Strikes/kicks,Control against Resistance,,,,,,0000-0559,Assist,MEDICAL ASSIST,,,December,,No weapon (unarmed),256071,North Precinct,3.652606545,,555540043,600650,Black,Male,No,18.997812024,555540043600650,Aggressive,Aggressive,Active,,,,,,Dispatched,Yes,Yes,,2019
,III,Release to Medical,Sunday,,,,Takedown (II and III),Strikes/kicks,Strikes/kicks,Strikes/kicks,Control against Resistance,Resisted HC,,,0000-0559,Assist,MEDICAL ASSIST,,,December,,No weapon (unarmed),952041,North Precinct,3.767675038,,555540043,600650,Black,Male,No,18.997812024,555540043600650,Aggressive,Aggressive,Aggressive,Aggressive,Active,Active,,,Dispatched,Yes,Yes,,2019
,III,Arrest-Cited,SUN,,,,Takedown,,,,,,,,-,Assist,MEDICAL ASSIST,,,September,,No weapon (unarmed),651810,East Precinct,13.971866438,,867518666,3545231,Black,Male,Yes,30.796523973,3545231867518666,Aggressive,,,,,,,,Dispatched,,Yes,,2017
,III,Arrest-Misdemeanor,SUN,,,,CEW,,,,,,,,-,Disturbance,DISTURBANCE - PRIORITY,,,September,,No weapon (unarmed),882128,North Precinct,25.594480594,,246518840,3617976,Hispanic,Male,Yes,20.701329909,3617976246518840,Active,,,,,,,,Dispatched,,,,2017
,III,Arrest-Misdemeanor,SUN,,,,Control Against Resistance,,,,,,,,-,Collision,ACCIDENT - NON INJURY,,,September,,No weapon (unarmed),1062150,North Precinct,11.324885845,,342518751,579054,Hispanic,Male,No,24.946803653,579054342518751,Active,,,,,,,,Dispatched,Yes,,,2017
,III,Arrest-Misdemeanor,SUN,,,,Resisted HC,,,,,,,,-,Disturbance,DISTURBANCE - PRIORITY,,,September,,No weapon (unarmed),751121,,1.008179224,,246518840,3617976,Hispanic,Male,Yes,20.701329909,3617976246518840,Active,,,,,,,,Dispatched,,,,2017
,III,Arrest-Misdemeanor,SUN,,,,Resisted HC,,,,,,,,-,Disturbance,DISTURBANCE - PRIORITY,,,September,,No weapon (unarmed),927641,North Precinct,6.569832572,,246518840,3617976,Hispanic,Male,Yes,20.701339422,3617976246518840,Active,,,,,,,,Dispatched,,,,2017
,III,Arrest-Misdemeanor,SUN,,,,Resisted HC,,,,,,,,-,Disturbance,DISTURBANCE - PRIORITY,,,September,,No weapon (unarmed),1043450,North Precinct,9.120513699,,246518840,3617976,Hispanic,Male,Yes,20.701335616,3617976246518840,Active,,,,,,,,Dispatched,,,,2017
,III,Arrest-Misdemeanor,SUN,,,,Resisted HC,Control Against Resistance,,,,,,,-,Collision,ACCIDENT - NON INJURY,,,September,,No weapon (unarmed),893030,North Precinct,12.226350837,,342518751,579054,Hispanic,Male,No,24.946898782,579054342518751,Active,Active,,,,,,,Dispatched,Yes,,,2017
,III,Arrest-Felony,Monday,,,,Box-in VIS,PFA,,,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,March,,,967940,North Precinct,9.851522070,Firearm was found after the UoF - not known prior,692526594,3518222,Black,Male,No,19.846042618,3518222692526594,Active,Active,,,,,,,Self-Initiated,,,,2018
,III,Arrest-Felony,Monday,,,,CEW,CEW,Resisted HC,,,,,,1800-2359,Disturbance,DISTURBANCE - PRIORITY,,,December,,No weapon (unarmed),509589,East Precinct,23.238888889,,38529788,220092,White,Female,Yes,31.633333333,38529788220092,Aggressive,Aggressive,Active,,,,,,Dispatched,Yes,Yes,,2018
,III,Arrest-Felony,Monday,,,,CEW,Control against Resistance,CEW,,,,,,0600-1159,Unwanted Person,UNWANTED PERSON,,,December,,,910631,North Precinct,8.834237062,Pens,37540128,387912,Black,Male,No,25.691771309,37540128387912,Aggressive,Aggressive,Aggressive,,,,,,Dispatched,,Yes,,2019
,III,Arrest-Felony,Monday,,,,Control Against Resistance,,,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,July,,No weapon (unarmed),405881,Central Precinct,4.076811263,,105528238,403583,White,Female,No,35.742564688,105528238403583,Active,,,,,,,,Dispatched,Yes,,,2018
,III,Arrest-Felony,Monday,,,,Control Against Resistance,,,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,July,,No weapon (unarmed),883231,East Precinct,0.934345510,,105528238,403583,White,Female,No,35.742564688,105528238403583,Passive,,,,,,,,Dispatched,Yes,,,2018
,III,Arrest-Felony,Monday,,,,Control Against Resistance,,,,,,,,0000-0559,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,,March,,No weapon (unarmed),945541,North Precinct,10,,470546712,489448,White,Female,No,27,4.70547e+14,Aggressive,,,,,,,,Dispatched,,,,2020
,III,Arrest-Felony,Monday,,,,Control Against Resistance,,,,,,,,0600-1159,Robbery,ROBBERY - PRIORITY *H,,,April,,,1061749,Central Precinct,23,,971546877,454369,White,Male,Yes,43,9.71547e+14,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2020
,III,Arrest-Felony,Monday,,,,Control Against Resistance,,,,,,,,1800-2359,Assault,ASSAULT - COLD,,No,January,,No weapon (unarmed),425590,East Precinct,16.314857306,,837525686,1876293,Hispanic,Male,No,20.029925799,1876293837525686,Active,,,,,,,,Dispatched,,,,2018
,III,Arrest-Felony,Monday,,,,Control Against Resistance,,,,,,,,-,Subject Stop,PERSON CONTACT (86),,No,October,,No weapon (unarmed),439991,Central Precinct,3.427041476,,742518935,251589,Black,Male,No,46.013342846,251589742518935,Active,,,,,,,,Self-Initiated,,,,2017
,III,Arrest-Felony,Monday,,,,Control Against Resistance,CEW,CEW,Resisted HC,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,January,,No weapon (unarmed),506291,East Precinct,1,,922545737,173975,Black,Male,No,57,9.22546e+14,Aggressive,Aggressive,Aggressive,Active,,,,,Dispatched,Yes,,,2020
,III,Arrest-Felony,Monday,,,,Control against Resistance,CEW,Strikes/kicks,Takedown (II and III),,,,,1800-2359,Disturbance,DISTURBANCE - COLD,,,April,,No weapon (unarmed),371581,Central Precinct,4.807479072,,524536983,560160,Black,Male,Yes,27.001999619,524536983560160,Aggressive,Aggressive,Aggressive,Aggressive,,,,,Dispatched,,Yes,,2019
,III,Arrest-Felony,Monday,,,,Control against Resistance,Control against Resistance,,,,,,,0600-1159,Unwanted Person,UNWANTED PERSON,,,December,,,214161,North Precinct,2.831497336,Pens,37540128,387912,Black,Male,No,25.691771309,37540128387912,Aggressive,Active,,,,,,,Dispatched,,Yes,,2019
,III,Arrest-Felony,Monday,,,,Control against Resistance,Hobble,,,,,,,0600-1159,Unwanted Person,UNWANTED PERSON,,,December,,,1058449,North Precinct,15.815058980,Pens,37540128,387912,Black,Male,No,25.691771309,37540128387912,Aggressive,Active,,,,,,,Dispatched,,Yes,,2019
,III,Arrest-Felony,Monday,,,,Control Against Resistance,Resisted HC,,,,,,,0000-0559,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,,March,,No weapon (unarmed),808220,North Precinct,13,,470546712,489448,White,Female,No,27,4.70547e+14,Aggressive,Aggressive,,,,,,,Dispatched,,,,2020
,III,Arrest-Felony,Monday,,,,Control against Resistance,Resisted HC,,,,,,,0600-1159,Unwanted Person,UNWANTED PERSON,,,December,,,905230,North Precinct,12.938346651,Pens,37540128,387912,Black,Male,No,25.691771309,37540128387912,Aggressive,Active,,,,,,,Dispatched,,Yes,,2019
,III,Arrest-Felony,Monday,,,,Control against Resistance,Resisted HC,,,,,,,0600-1159,Unwanted Person,UNWANTED PERSON,,,December,,,754720,Youth Services,10.828757610,Pens,37540128,387912,Black,Male,No,25.691771309,37540128387912,Active,Active,,,,,,,Dispatched,,,,2019
,III,Arrest-Felony,Monday,,,,Control Against Resistance,Resisted HC,,,,,,,1200-1759,Unwanted Person,UNWANTED PERSON,,,April,,No weapon (unarmed),910631,North Precinct,7.089375951,,276526760,316747,White,Male,Yes,19.790745814,276526760316747,Active,Active,,,,,,,Dispatched,,Yes,,2018
,III,Arrest-Felony,Monday,,,,Control Against Resistance,Resisted HC,Takedown (II and III),Resisted HC,,,,,1800-2359,Assault,ASSAULT - PRIORITY,,Yes,June,,,148661,Central Precinct,6.955848554,,303527720,755607,White,Male,Yes,46.440780061,303527720755607,Active,Active,Aggressive,Aggressive,,,,,Dispatched,Yes,Yes,Weapon Present or reported but not used or threatened use,2018
,III,Arrest-Felony,Monday,,,,Control Against Resistance,Resisted HC,Takedown (II and III),Resisted HC,,,,,1800-2359,Assault,ASSAULT - PRIORITY,,Yes,June,,,920631,Central Precinct,7.301054033,,303527720,755607,White,Male,Yes,46.440780061,303527720755607,Active,Active,Aggressive,Aggressive,,,,,Dispatched,Yes,Yes,Weapon Present or reported but not used or threatened use,2018
,III,Arrest-Felony,Monday,,,,Control Against Resistance,Strikes/kicks,Strikes/kicks,Strikes/kicks,Strikes/kicks,Strikes/kicks,Strikes/kicks,Strikes/kicks,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,January,,No weapon (unarmed),851231,East Precinct,2,,922545737,173975,Black,Male,No,57,9.22546e+14,Active,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Dispatched,Yes,,,2020
,III,Arrest-Felony,Monday,,,,Control against Resistance,Strikes/kicks,Strikes/kicks,Takedown (II and III),,,,,0600-1159,Subject Stop,PERSON CONTACT (86),,,November,,No weapon (unarmed),1056551,Central Precinct,4.441885464,,911539476,271269,White,Male,Yes,49.515858067,911539476271269,Active,Aggressive,Aggressive,Aggressive,,,,,Dispatched,,,,2019
,III,Arrest-Felony,Monday,,,,Control against Resistance,Strikes/kicks,Takedown (II and III),,,,,,1800-2359,Disturbance,DISTURBANCE - COLD,,,April,,No weapon (unarmed),164861,Central Precinct,5.056796043,,524536983,560160,Black,Male,Yes,27.002001522,524536983560160,Aggressive,Aggressive,Aggressive,,,,,,Dispatched,,Yes,,2019
,III,Arrest-Felony,Monday,,,,Control Against Resistance,Strikes/kicks,Takedown (II and III),Resisted HC,,,,,1800-2359,Disturbance,DISTURBANCE - PRIORITY,,,May,,No weapon (unarmed),509589,East Precinct,22.739497717,,197527459,383224,White,Male,No,31.810730594,197527459383224,Active,Active,Active,Active,,,,,Dispatched,,Yes,,2018
,III,Arrest-Felony,Monday,,,,Control against Resistance,Takedown (II and III),,,,,,,0600-1159,Subject Stop,PERSON CONTACT (86),,,November,,No weapon (unarmed),350681,Central Precinct,8.104899163,,911539476,271269,White,Male,Yes,49.515858067,911539476271269,Active,Aggressive,,,,,,,Dispatched,,,,2019
,III,Arrest-Felony,Monday,,,,Control Against Resistance,Takedown (II and III),Control Against Resistance,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,July,,No weapon (unarmed),373581,Central Precinct,7.567222222,,105528238,403583,White,Female,No,35.742564688,105528238403583,Active,Aggressive,Passive,,,,,,Dispatched,Yes,,,2018
,III,Arrest-Felony,Monday,,,,Control Against Resistance,Takedown (II and III),Control Against Resistance,,,,,,1200-1759,Disturbance,DISTURBANCE - PRIORITY,Knife / Edged Weapon / Stabbing Instrument,,March,,,350681,Central Precinct,6.456499239,,598526503,481578,White,Male,No,29.023622527,481578598526503,Active,Active,Active,,,,,,Dispatched,,Yes,,2018
,III,Arrest-Felony,Monday,,,,Control Against Resistance,Takedown (II and III),Control Against Resistance,,,,,,1200-1759,Disturbance,DISTURBANCE - PRIORITY,Knife / Edged Weapon / Stabbing Instrument,,March,,,276671,Central Precinct,8.029101979,,598526503,481578,White,Male,No,29.023622527,481578598526503,Active,Active,Active,,,,,,Dispatched,,Yes,,2018
,III,Arrest-Felony,Monday,,,,Control Against Resistance,Takedown (II and III),Resisted HC,,,,,,0000-0559,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,,March,,No weapon (unarmed),1098050,North Precinct,14,,470546712,489448,White,Female,No,27,4.70547e+14,Aggressive,Aggressive,Active,,,,,,Dispatched,,,,2020
,III,Arrest-Felony,Monday,,,,Control Against Resistance,Takedown (II and III),Resisted HC,,,,,,1200-1759,Unwanted Person,UNWANTED PERSON,,,April,,No weapon (unarmed),280471,North Precinct,9.083896499,,276526760,316747,White,Male,Yes,49.809923896,276526760316747,Active,Active,Active,,,,,,Dispatched,,Yes,,2018
,III,Arrest-Felony,Monday,,,,Control Against Resistance,Takedown (II and III),Resisted HC,,,,,,1800-2359,Disturbance,DISTURBANCE - PRIORITY,,,May,,No weapon (unarmed),998139,East Precinct,19.364155251,,197527459,383224,White,Male,No,31.810730594,197527459383224,Active,Active,Active,,,,,,Dispatched,Yes,,,2018
,III,Arrest-Felony,Monday,,,,PIT - VIS,,,,,,,,0000-0559,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,,May,,No weapon (unarmed),232271,East Precinct,2,,246547130,514521,Black,Male,Yes,29,2.46547e+14,Active,,,,,,,,Self-Initiated,,,,2020
,III,Arrest-Felony,Monday,,,,PIT - VIS,,,,,,,,1800-2359,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,,April,,No weapon (unarmed),1010941,North Precinct,5,,250546800,507115,White,Male,No,30,2.50547e+14,Active,,,,,,,,Self-Initiated,,,,2020
,III,Arrest-Felony,Monday,,,,PIT - VIS,,,,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,February,,No weapon (unarmed),1049550,North Precinct,16.257418189,,347526341,3881849,White,Male,No,29.046459285,3881849347526341,Active,,,,,,,,Self-Initiated,,,,2018
,III,Arrest-Felony,Monday,,,,PIT - VIS,PFA,,,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,March,,,218358,K9,20.415917047,Firearm - learned after UOF - not known prior,692526594,3518222,Black,Male,No,19.846054033,3518222692526594,Active,Active,,,,,,,Self-Initiated,,,,2018
,III,Arrest-Felony,Monday,,,,Resisted HC,,,,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,,July,,No weapon (unarmed),1104751,Central Precinct,5.554590944,,420528242,3944841,White,Female,Yes,60.888837519,4205282423944841,Active,,,,,,,,Dispatched,,,,2018
,III,Arrest-Felony,Monday,,,,Resisted HC,,,,,,,,0600-1159,Robbery,ROBBERY - PRIORITY *H,,,April,,,944541,Central Precinct,10,,971546877,454369,White,Male,Yes,43,9.71547e+14,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2020
,III,Arrest-Felony,Monday,,,,Resisted HC,,,,,,,,0600-1159,Unwanted Person,UNWANTED PERSON,,,December,,,291271,North Precinct,1.987661720,Pens,37540128,387912,Black,Male,No,25.691771309,37540128387912,Aggressive,,,,,,,,Dispatched,,Yes,,2019
,III,Arrest-Felony,Monday,,,,Resisted HC,,,,,,,,0600-1159,Unwanted Person,UNWANTED PERSON,,,December,,,360079,North Precinct,21.319168569,Pens,37540128,387912,Black,Male,No,25.691771309,37540128387912,Active,,,,,,,,Dispatched,,Yes,,2019
,III,Arrest-Felony,Monday,,,,Resisted HC,,,,,,,,0600-1159,Unwanted Person,UNWANTED PERSON,,,December,,,651809,North Precinct,22.812319254,Pens,37540128,387912,Black,Male,No,25.691771309,37540128387912,Aggressive,,,,,,,,Dispatched,,Yes,,2019
,III,Arrest-Felony,Monday,,,,Resisted HC,,,,,,,,1800-2359,Disturbance,DISTURBANCE - PRIORITY,,,December,,No weapon (unarmed),1053550,Central Precinct,17.011111111,,38529788,220092,White,Female,Yes,31.633333333,38529788220092,Active,,,,,,,,Dispatched,Yes,Yes,,2018
,III,Arrest-Felony,Monday,,,,Resisted HC,,,,,,,,1800-2359,Restraining Order Violation,RESTRAINING ORDER VIOLATION - PRIORITY,,,August,,No weapon (unarmed),509589,East Precinct,22.969691781,,809528515,261515,Black,Male,Yes,44.955993151,809528515261515,Active,,,,,,,,Dispatched,,,,2018
,III,Arrest-Felony,Monday,,,,Resisted HC,,,,,,,,1800-2359,Restraining Order Violation,RESTRAINING ORDER VIOLATION - PRIORITY,,,August,,No weapon (unarmed),973138,East Precinct,26.460102740,,809528515,261515,Black,Male,Yes,44.955993151,809528515261515,Active,,,,,,,,Dispatched,,,,2018
,III,Arrest-Felony,Monday,,,,Resisted HC,Control Against Resistance,,,,,,,-,Subject Stop,PERSON CONTACT (86),,Unclear,October,,No weapon (unarmed),752121,Central Precinct,0.953068874,,742518935,251589,Black,Male,No,46.013342846,251589742518935,Active,Active,,,,,,,Self-Initiated,,,,2017
,III,Arrest-Felony,Monday,,,,Resisted HC,Control Against Resistance,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,January,,,997941,East Precinct,0.509623288,,445526002,356838,White,Male,Yes,38.167157534,356838445526002,Active,Active,,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,2018
